Track Name,Artist(s),Album,Release Date,Duration (ms),Spotify URL
Day One,Hans Zimmer,Interstellar (Original Motion Picture Soundtrack),2014-11-18,199422,https://open.spotify.com/track/2H4zwjbv0D0ggDhf0E8j8j
First Step,Hans Zimmer,Interstellar: Original Motion Picture Soundtrack (Deluxe Digital Version),2014-11-21,107767,https://open.spotify.com/track/3CU97aGUQH8Kc46Fbuc2be
No Time for Caution,Hans Zimmer,Interstellar: Original Motion Picture Soundtrack (Deluxe Digital Version),2014-11-21,246271,https://open.spotify.com/track/1yzSSn5Sj1azuo7RgwvDb3
Cornfield Chase,Hans Zimmer,Interstellar (Original Motion Picture Soundtrack),2014-11-18,126959,https://open.spotify.com/track/18z7tK7u9DcDw85LYRR5Fe
Mountains,Hans Zimmer,Interstellar (Original Motion Picture Soundtrack),2014-11-18,219092,https://open.spotify.com/track/6WVRhBxRMW9fn6sRkt2gWn
Dust,Hans Zimmer,Interstellar (Original Motion Picture Soundtrack),2014-11-18,341395,https://open.spotify.com/track/1uyB4BHbIicheenh3BgeQ3
Coward,Hans Zimmer,Interstellar (Original Motion Picture Soundtrack),2014-11-18,506876,https://open.spotify.com/track/3wa4t4bc0UjG2eSGgXHcaR
Where We're Going,Hans Zimmer,Interstellar (Original Motion Picture Soundtrack),2014-11-18,461268,https://open.spotify.com/track/1TBJRUEWgRCKvcaVtojDad
S.T.A.Y.,Hans Zimmer,Interstellar (Original Motion Picture Soundtrack) [Expanded Edition],2014-11-18,383513,https://open.spotify.com/track/6GUq9y0Iy5QrAuPYxTrFp2
