Track Name,Artist(s),Album,Release Date,Duration (ms),Spotify URL
Interstellar - Piano & Violin Version,ViOLiNiA Zhanna Stelmakh,Interstellar (Piano & Violin Version),2023-03-03,175000,https://open.spotify.com/track/4h6ySMjVyK8ostKJeLnmvw
Cornfield Chase,Hans Zimmer,Interstellar (Original Motion Picture Soundtrack) [Expanded Edition],2014-11-18,126959,https://open.spotify.com/track/6pWgRkpqVfxnj3WuIcJ7WP
Interstellar (Original Score),Imperial Orchestra,Interstellar (Original Score),2022-08-10,414101,https://open.spotify.com/track/1xLL0IOmaa0fqKoaDgAncG
Day One (Interstellar Lofi),Chill Astronaut,Day One (Interstellar Lofi),2022-12-13,134418,https://open.spotify.com/track/1q9nThZK8cp7HuxaRR2ber
Inception x Interstellar: Time & Interstellar Main Theme - Epic Version,2Hooks,Inception x Interstellar: Time & Interstellar Main Theme (Epic Version),2021-05-10,292856,https://open.spotify.com/track/2LnOaamwwJaR4Y1JDWh5nN
Mad World - Piano Version,Massimo D'Alessio,Mad World (Piano Version),2020-04-03,65410,https://open.spotify.com/track/3PB0TzcFf8mF3MZwTPRMm7
"Flight (from ""Man of Steel"")","Michael Tai, Tuelhinha","Piano / Instrumental Works: Movie Score Themes, Vol. II",2015-05-14,248632,https://open.spotify.com/track/6ymPJUysPO8NwLSuGnqq4N
Clocks - Piano Instrumental,Piano Queen,Awesome Instrumentals,2020-10-30,274880,https://open.spotify.com/track/4tSNZK8Mc0njxRVdPv53SZ
Interstellar,"Peter Buka, L'Orchestra Cinematique",Interstellar,2022-09-18,302402,https://open.spotify.com/track/2M24hSiMa4t2fb3WKj2RH9
