Track Name,Artist(s),Album,Release Date,Duration (ms),Spotify URL
Guess featuring billie eilish,"Charli xcx, Billie Eilish",Brat and it’s completely different but also still brat,2024-10-11,143330,https://open.spotify.com/track/0IsIY8pfu1yaGkPUD7pkDx
FE!N (feat. Playboi Carti),"Travis Scott, Playboi Carti",UTOPIA,2023-07-28,191700,https://open.spotify.com/track/42VsgItocQwOQC3XWZ8JNA
São Paulo (feat. Anitta),"The Weeknd, Anitta",São Paulo,2024-10-31,301623,https://open.spotify.com/track/0xGQTpN4ESETtl1Sp6rzd2
365,Charli xcx,BRAT,2024-06-07,203618,https://open.spotify.com/track/5h68SoVFGleijCtjEja3xG
Embrace It - Remix,"Ndotz, Sexyy Red, Flo Milli, RJ Pasin",Embrace It Remix,2024-12-06,202434,https://open.spotify.com/track/1KkeD458LJuw0KkU9AIfqo
Timeless (with Playboi Carti),"The Weeknd, Playboi Carti",Timeless,2024-09-27,256000,https://open.spotify.com/track/1Es7AUAhQvapIcoh3qMKDL
two,bbno$,two,2024-10-04,135212,https://open.spotify.com/track/18ENCZw5lQc10UwwFiH1QK
I'm Good (Blue),"David Guetta, Bebe Rexha",I'm Good (Blue),2022-08-26,175238,https://open.spotify.com/track/4uUG5RXrOk84mYEfFvj3cK
"One Of The Girls (with JENNIE, Lily Rose Depp)","The Weeknd, JENNIE, Lily-Rose Depp",The Idol Episode 4 (Music from the HBO Original Series),2023-06-23,244684,https://open.spotify.com/track/7CyPwkp0oE8Ro9Dd5CUDjW
HOT N COLD,xxtristanxo,HOT N COLD,2024-12-13,143283,https://open.spotify.com/track/59oAu1DeHUGQxoj593GzCW
All The Stars (with SZA),"Kendrick Lamar, SZA",Black Panther The Album Music From And Inspired By,2018-02-09,232186,https://open.spotify.com/track/3GCdLUSnKSMJhs4Tj6CV3s
Type Shit,"Future, Metro Boomin, Travis Scott, Playboi Carti",WE DON'T TRUST YOU,2024-03-22,228266,https://open.spotify.com/track/28drn6tQo95MRvO0jQEo5C
Chihiro,Gravagerz,Chihiro,2024-06-22,128575,https://open.spotify.com/track/1antlMwNpOAXeUcIAx8FPB
Water,Tyla,Water,2023-07-28,200255,https://open.spotify.com/track/5aIVCx5tnk0ntmdiinnYvw
Hips Don't Lie (feat. Wyclef Jean),"Shakira, Wyclef Jean","Oral Fixation, Vol. 2 (Expanded Edition)",2005-11-28,218093,https://open.spotify.com/track/3ZFTkvIE7kyPt6Nu3PEa7V
Take Ya B,"ACRAZE, Lil Mabu",Take Ya B,2024-12-06,204651,https://open.spotify.com/track/5gqUKrzZUmE3LrQo25iECz
Heartless,Kanye West,808s & Heartbreak,2008-11-24,211000,https://open.spotify.com/track/4EWCNWgDS8707fNSZ1oaA5
Like That,"Future, Metro Boomin, Kendrick Lamar",WE DON'T TRUST YOU,2024-03-22,267706,https://open.spotify.com/track/2tudvzsrR56uom6smgOcSf
Alibi (with Pabllo Vittar & Yseult),"Sevdaliza, Pabllo Vittar, Yseult",Alibi (with Pabllo Vittar & Yseult),2024-06-28,161655,https://open.spotify.com/track/6G15l720kBWvIQZyoEJEYE
The Hills,The Weeknd,Beauty Behind The Madness,2015-08-28,242253,https://open.spotify.com/track/7fBv7CLKzipRk6EC6TWHOB
No Role Modelz,J. Cole,2014 Forest Hills Drive,2014-12-09,292799,https://open.spotify.com/track/68Dni7IE4VyPkTOH9mRWHr
Rock,Stepz,Rock,2024-10-11,144113,https://open.spotify.com/track/6dXjUMjFxfAX4F2dHKqQzf
HUMBLE.,Kendrick Lamar,DAMN.,2017-04-14,177000,https://open.spotify.com/track/7KXjTSCq5nL1LoYtL7XAwS
Stressed Out,Twenty One Pilots,Blurryface,2015-05-15,202333,https://open.spotify.com/track/3CRDbSIZ4r5MsZ0YwxuEkn
Moment,Levity,Moment,2023-09-27,165125,https://open.spotify.com/track/764CYWJzIeuBGGDaeu7b2n
Jealous,Eyedress,Jealous,2019-12-06,122338,https://open.spotify.com/track/1aXV8GrmQLvgoFtBPERP7E
Apple,Charli xcx,BRAT,2024-06-07,151739,https://open.spotify.com/track/19RybK6XDbAVpcdxSbZL1o
Prada,"cassö, RAYE, D-Block Europe",Prada,2023-08-11,132359,https://open.spotify.com/track/59NraMJsLaMCVtwXTSia8i
Too Many Nights (feat. Don Toliver & with Future),"Metro Boomin, Future, Don Toliver",HEROES & VILLAINS,2022-12-02,199920,https://open.spotify.com/track/2Hh3ETdQKrmSI3QS0hme7g
Embrace It,Ndotz,Embrace It,2024-08-23,104418,https://open.spotify.com/track/0io16MKpbeDIdYzmGpQaES
Don’t Blame Me,Taylor Swift,reputation,2017-11-10,236413,https://open.spotify.com/track/1R0a2iXumgCiFb7HEZ7gUE
Outside (feat. Ellie Goulding),"Calvin Harris, Ellie Goulding",Motion,2014-10-31,227266,https://open.spotify.com/track/7MmG8p0F9N3C4AXdK6o6Eb
we r who we r (glitter on my eyes),pk,we r who we r (glitter on my eyes),2024-07-18,211073,https://open.spotify.com/track/3hPlTosFqmAbiagWiUXXMz
greedy,Tate McRae,greedy,2023-09-15,131872,https://open.spotify.com/track/3rUGC1vUpkDG9CZFHMur1t
20 Min,Lil Uzi Vert,Luv Is Rage 2 (Deluxe),2017-11-17,220586,https://open.spotify.com/track/0uxSUdBrJy9Un0EYoBowng
Love Me,"Lil Wayne, Drake, Future",I Am Not A Human Being II (Deluxe),2013-01-01,255053,https://open.spotify.com/track/2XHzzp1j4IfTNp1FTn7YFg
the boy is mine,Ariana Grande,eternal sunshine,2024-03-08,173639,https://open.spotify.com/track/0Lmbke3KNVFXtoH2mMSHCw
The Machine,"Reed Wonder, Aurora Olivas",The Machine,2023-03-17,192000,https://open.spotify.com/track/19ItuvrZfTudwC6S5lkDH3
Gasolina,Daddy Yankee,Barrio Fino (Bonus Track Version),2004-07-13,192600,https://open.spotify.com/track/228BxWXUYQPJrJYHDLOHkj
Gimme More,Britney Spears,Blackout,2007-10-25,251240,https://open.spotify.com/track/6ic8OlLUNEATToEFU3xmaH
Superhero (Heroes & Villains) [with Future & Chris Brown],"Metro Boomin, Future, Chris Brown",HEROES & VILLAINS,2022-12-02,182666,https://open.spotify.com/track/0vjeOZ3Ft5jvAi9SBFJm1j
In My Mind,"Dynoro, Gigi D'Agostino",In My Mind,2018-06-08,184560,https://open.spotify.com/track/0E9ZjEAyAwOXZ7wJC0PD33
Meet Me,"Öwnboss, EME",Meet Me,2025-01-10,154534,https://open.spotify.com/track/0G13XMunpgihhWzsunhQjm
Titanium (feat. Sia),"David Guetta, Sia",Nothing but the Beat (Ultimate Edition),2012-12-07,245040,https://open.spotify.com/track/0TDLuuLlV54CkRRUOahJb4
Rolling in the Deep,Adele,21,2011-01-24,228093,https://open.spotify.com/track/4OSBTYWVwsQhGLF9NHvIbR
Blank Space,Taylor Swift,1989 (Deluxe),2014-01-01,231826,https://open.spotify.com/track/1u8c2t2Cy7UBoG4ArRcF5g
WHATCHU KNO ABOUT ME (feat. Sexyy Red),"GloRilla, Sexyy Red",GLORIOUS,2024-10-11,149461,https://open.spotify.com/track/5xeSd4HgzrYpNLEf3LfYLK
Pumpfake,"Sadfriendd, Towa",Pumpfake,2024-11-07,93330,https://open.spotify.com/track/6GwdfiUA3p0zyXpP7LelL5
Don't Stop The Music,Rihanna,Good Girl Gone Bad: Reloaded,2008-06-02,267080,https://open.spotify.com/track/0ByMNEPAPpOR5H69DVrTNy
Tattoo,Loreen,Tattoo,2023-02-25,183374,https://open.spotify.com/track/1DmW5Ep6ywYwxc2HMT5BG6
Crazy In Love (feat. JAY-Z),"Beyoncé, JAY-Z",Dangerously In Love,2003-03-10,235933,https://open.spotify.com/track/0TwBtDAWpkpM3srywFVOV5
Work Out,J. Cole,Cole World: The Sideline Story,2011-09-27,235320,https://open.spotify.com/track/2wAJTrFhCnQyNSD3oUgTZO
Look What You Made Me Do,Taylor Swift,reputation,2017-11-10,211853,https://open.spotify.com/track/1P17dC1amhFzptugyAO7Il
Say It Right,Nelly Furtado,Loose,2006-01-01,223080,https://open.spotify.com/track/2aI21FnmY7TJVKeMaoQZ0t
Nightcrawler (feat. Swae Lee & Chief Keef),"Travis Scott, Swae Lee, Chief Keef",Rodeo,2015-09-04,321560,https://open.spotify.com/track/3xby7fOyqmeON8jsnom0AT
...Ready For It?,Taylor Swift,reputation,2017-11-10,208186,https://open.spotify.com/track/2yLa0QULdQr0qAIvVwN6B5
Temperature,Sean Paul,The Trinity,2005-09-27,218573,https://open.spotify.com/track/0k2GOhqsrxDTAbFFSdNJjT
favorite,Isabel LaRosa,favorite,2024-03-29,133608,https://open.spotify.com/track/3QJsSWa0Xo8MfaRn1gr4Be
Shake It Off,Taylor Swift,1989 (Deluxe),2014-01-01,219200,https://open.spotify.com/track/0cqRj7pUJDkTCEsJkx8snD
Super Bass,Nicki Minaj,Pink Friday (Complete Edition),2010-11-22,200013,https://open.spotify.com/track/3hlksXnvbKogFdPbpO9vel
Diva,Beyoncé,I AM...SASHA FIERCE,2008-11-14,200613,https://open.spotify.com/track/5Ssv6DaKrW0HczVqx6zXdl
Paint The Town Red,Doja Cat,Scarlet,2023-09-20,230480,https://open.spotify.com/track/56y1jOTK0XSvJzVv9vHQBK
Levels - Radio Edit,Avicii,Levels,2011-10-28,199906,https://open.spotify.com/track/5UqCQaDshqbIk3pkhy4Pjg
Scream & Shout,"will.i.am, Britney Spears",#willpower,2013-01-01,283400,https://open.spotify.com/track/2iJuuzV8P9Yz0VSurttIV5
Chantaje (feat. Maluma),"Shakira, Maluma",El Dorado,2017-05-26,195840,https://open.spotify.com/track/6mICuAdrwEjh6Y6lroV2Kg
