Track Name,Artist(s),Album,Release Date,Duration (ms),Spotify URL
Into You,Ariana Grande,Dangerous Woman,2016-05-20,244453,https://open.spotify.com/track/2meEiZKWkiN28gITzFwQo5
Glad You Came,The Wanted,Glad You Came,2011-01-01,198466,https://open.spotify.com/track/1OXfWI3FQMdsKKC6lkvzSx
Dark Horse,"Katy Perry, Juicy J",PRISM (Deluxe),2013-10-18,215672,https://open.spotify.com/track/5jrdCoLpJSvHHorevXBATy
Who Knew - Edit,P!nk,Greatest Hits...So Far!!!,2010-11-12,207893,https://open.spotify.com/track/4pSPMXaCjbaV3VSzZQYC7H
Closer,"The Chainsmokers, Halsey",Closer,2016-07-29,244960,https://open.spotify.com/track/7BKLCZ1jbUBVqRi2FVlTVw
greedy,Tate McRae,greedy,2023-09-15,131872,https://open.spotify.com/track/3rUGC1vUpkDG9CZFHMur1t
Viva La Vida,Coldplay,Viva La Vida or Death and All His Friends,2008-05-26,242373,https://open.spotify.com/track/1mea3bSkSGXuIRvnydlB5b
My House,Flo Rida,My House,2015-04-07,192190,https://open.spotify.com/track/6Knv6wdA0luoMUuuoYi2i1
Peaches (feat. Daniel Caesar & Giveon),"Justin Bieber, Daniel Caesar, Giveon",Justice,2021-03-19,198081,https://open.spotify.com/track/4iJyoBOLtHqaGxP12qzhQI
As It Was,Harry Styles,As It Was,2022-03-31,167303,https://open.spotify.com/track/4LRPiXqCikLlN15c3yImP7
Wildest Dreams (Taylor's Version),Taylor Swift,1989 (Taylor's Version),2023-10-26,220433,https://open.spotify.com/track/1K39ty6o1sHwwlZwO6a7wK
Born This Way,Lady Gaga,Born This Way (Special Edition),2011-01-01,260252,https://open.spotify.com/track/6r2BECwMgEoRb5yLfp0Hca
Love Song,Sara Bareilles,Little Voice,2007-07-03,258826,https://open.spotify.com/track/4E6cwWJWZw2zWf7VFbH7wf
I Kissed A Girl,Katy Perry,One Of The Boys,2008-06-17,179640,https://open.spotify.com/track/4ROTEqZbUtCkXdSJXh3ctr
We Don't Talk Anymore (feat. Selena Gomez),"Charlie Puth, Selena Gomez",Nine Track Mind,2016-01-29,217706,https://open.spotify.com/track/06KyNuuMOX1ROXRhj787tj
Flowers,Miley Cyrus,Flowers,2023-01-13,200454,https://open.spotify.com/track/0yLdNVWF3Srea0uzk55zFn
"yes, and?",Ariana Grande,"yes, and?",2024-01-12,214994,https://open.spotify.com/track/7gaA3wERFkFkgivjwbSvkG
Die Young,Kesha,Warrior (Deluxe Version),2012-11-30,211920,https://open.spotify.com/track/6mnjcTmK8TewHfyOp3fC9C
APT.,"ROSÉ, Bruno Mars",APT.,2024-10-18,169917,https://open.spotify.com/track/5vNRhkKd0yEAg8suGBpjeY
Ride,Twenty One Pilots,Blurryface,2015-05-15,214506,https://open.spotify.com/track/2Z8WuEywRWYTKe1NybPQEW
I Like You (A Happier Song) (with Doja Cat),"Post Malone, Doja Cat",Twelve Carat Toothache,2022-06-03,192840,https://open.spotify.com/track/0O6u0VJ46W86TxN9wgyqDj
This Is Why,Paramore,This Is Why,2023-02-10,206700,https://open.spotify.com/track/7HdXRMw14roDx2a0COWk3M
Espresso,Sabrina Carpenter,Short n' Sweet,2024-08-23,175459,https://open.spotify.com/track/1QUyotJH8XoTEan8aZdsiV
Side To Side,"Ariana Grande, Nicki Minaj",Dangerous Woman,2016-05-20,226160,https://open.spotify.com/track/4pLwZjInHj3SimIyN9SnOz
I'm Good (Blue),"David Guetta, Bebe Rexha",I'm Good (Blue),2022-08-26,175238,https://open.spotify.com/track/4uUG5RXrOk84mYEfFvj3cK
A Bar Song (Tipsy),Shaboozey,A Bar Song (Tipsy),2024-04-12,171291,https://open.spotify.com/track/2FQrifJ1N335Ljm3TjTVVf
Houdini,Dua Lipa,Houdini,2023-11-09,185917,https://open.spotify.com/track/4OMJGnvZfDvsePyCwRGO7X
Die With A Smile,"Lady Gaga, Bruno Mars",Die With A Smile,2024-08-16,251667,https://open.spotify.com/track/2plbrEY59IikOBgBGLjaoe
Heart Attack,Demi Lovato,Demi,2013-01-01,210840,https://open.spotify.com/track/1V6gIisPpYqgFeWbMLI0bA
Read My Mind,"TRXVELER, IVOXYGEN, da99y",Read My Mind,2024-12-06,108169,https://open.spotify.com/track/0WM71S1YHcFeidUXmVjVVj
Call Me Maybe,Carly Rae Jepsen,Kiss,2012-01-01,193400,https://open.spotify.com/track/20I6sIOMTCkB6w7ryavxtO
Kill Bill,SZA,SOS,2022-12-08,153946,https://open.spotify.com/track/1Qrg8KqiBpW07V7PNxwwwL
See You Again (feat. Charlie Puth),"Wiz Khalifa, Charlie Puth",See You Again (feat. Charlie Puth),2015,229525,https://open.spotify.com/track/2JzZzZUQj3Qff7wapcbKjc
Happy,Pharrell Williams,Despicable Me 2 (Original Motion Picture Soundtrack),2013-06-18,233305,https://open.spotify.com/track/6NPVjNh8Jhru9xOmyQigds
Wake Me Up,Avicii,Wake Me Up,2013-08-06,249693,https://open.spotify.com/track/294vBlXfZYspeI29SXZaON
