Track Name,Artist(s),Album,Release Date,Duration (ms),Spotify URL
THE GREATEST,Billie Eilish,HIT ME HARD AND SOFT,2024-05-17,293840,https://open.spotify.com/track/6TGd66r0nlPaYm3KIoI7ET
Omakase,Cassandra Jenkins,"My Light, My Destroyer",2024-07-12,285199,https://open.spotify.com/track/4d73VPyismwKXKQTiUaKg3
Petco,Cassandra Jenkins,"My Light, My Destroyer",2024-07-12,183481,https://open.spotify.com/track/1ezpQUAtgZtt4E4oQdrwz9
Lullaby,TURQUOISEDEATH,Kaleidoscope,2024-10-11,256754,https://open.spotify.com/track/1NKyiSyZyvz6mHgB4KSKbb
So Far Away,TURQUOISEDEATH,Kaleidoscope,2024-10-11,325258,https://open.spotify.com/track/7bfYXzXTLjq7TdobL0pQ0C
Underneath,TURQUOISEDEATH,Kaleidoscope,2024-10-11,600293,https://open.spotify.com/track/1qa80gNgGXsufvbL3ZiYjq
28,Zach Bryan,The Great American Bar Scene,2024-07-04,233333,https://open.spotify.com/track/5iJKGpnFfvbjZJeAtwXfCj
Evoke Me,Parannoul,Sky Hundred,2024-08-07,845786,https://open.spotify.com/track/2GkCyfS1HfkEw5ywZ6wIl0
Backwards,Parannoul,Sky Hundred,2024-08-07,360053,https://open.spotify.com/track/2WOlnPG3x63m065PFZJTl0
Fantasy,Parannoul,Sky Hundred,2024-08-07,341680,https://open.spotify.com/track/6n0XB1zV1u7WhadwZJAoBi
BURN,"¥$, Kanye West, Ty Dolla $ign",VULTURES 1,2024-02-09,111458,https://open.spotify.com/track/38BgRP0EX5p0sBj0fFhqN9
THank god 4 me,ScHoolboy Q,BLUE LIPS,2024-03-01,177260,https://open.spotify.com/track/7CwO2esrH095tjxmJVMY2E
Pig feet (feat. Childish Major),"ScHoolboy Q, Childish Major",BLUE LIPS,2024-03-01,195038,https://open.spotify.com/track/136vuV2kKsdloNJ1lxPiWh
