Track Name,Artist(s),Album,Release Date,Duration (ms),Spotify URL
Davy Jones,Hans Zimmer,Pirates of the Caribbean: Dead Man's Chest (Original Motion Picture Soundtrack),2006-01-01,195240,https://open.spotify.com/track/6buHoQU9OTdbJrAuniVwGL
Ad Arcana,"Hans Zimmer, Richard Harvey",The Da Vinci Code,2006-01-01,367160,https://open.spotify.com/track/7bFZy83vdfjCHl5tEwE36o
Margot de Valois,Hans Zimmer,Henri 4,2010-03-08,137293,https://open.spotify.com/track/33TQYqLviA5TAok9BHDgap
Leave No Man Behind,Hans Zimmer,Black Hawk Down (Original Motion Picture Soundtrack),2002-01-15,378760,https://open.spotify.com/track/0eNT9B4PjPpzmOTFSbUWjh
This Land,"Hans Zimmer, Lebo M.",The Lion King,1994-01-01,175400,https://open.spotify.com/track/6EKywtYHtZLAvxyEcqrbE7
The Reprimand,Hans Zimmer,The Prince Of Egypt (Music From The Original Motion Picture Soundtrack),1998-02-11,245333,https://open.spotify.com/track/7l8tMZQfvtSQ6wcS1LdgHM
Leaving Wallbrook/On The Road,Hans Zimmer,Rain Man: Original Motion Picture Soundtrack,1989-01-01,173666,https://open.spotify.com/track/5kOxj05I5jTqzWNjcJPdsT
Look Closely,"Hans Zimmer, Rupert Gregson-Williams",Winter's Tale (Original Motion Picture Soundtrack),2014-02-04,368149,https://open.spotify.com/track/7CkNRv2xDLkX7ZEEiBgGt5
Idyll's End,Hans Zimmer,The Last Samurai: Original Motion Picture Score,2003-12-02,400773,https://open.spotify.com/track/3dscnxeKDLG899HPNXmY9F
Life Must Have Its Mysteries,Hans Zimmer,Inferno (Original Motion Picture Soundtrack),2016-10-14,234573,https://open.spotify.com/track/52GfW7l3XNs3r5IJtcp8ZF
Dream Is Collapsing,Hans Zimmer,Inception (Music from the Motion Picture),2010-07-09,143804,https://open.spotify.com/track/5xKVYMxOHB2XRLCUafFrz6
No Time To Die Suite: Part 1,"Hans Zimmer, Steve Mazzaro, Mariko Muranaka, Alexios Anest, Odessa Orchestra & Friends, Gavin Greenaway",No Time To Die Suite,2024-11-15,186573,https://open.spotify.com/track/7j9O2C0lGNhpQ1NaCwHCN6
Worm Ride,Hans Zimmer,Dune: Part Two (Original Motion Picture Soundtrack),2024-02-23,139806,https://open.spotify.com/track/6cs7PMoobGoGVz8xZlAnXb
Day One,Hans Zimmer,Interstellar (Original Motion Picture Soundtrack),2014-11-18,199422,https://open.spotify.com/track/1ClIKr4uKzosk6FOpHwLJM
No Time for Caution,Hans Zimmer,Interstellar (Original Motion Picture Soundtrack) [Deluxe Version],2014-12-18,246271,https://open.spotify.com/track/1W6LZGinxm6voDaC8NVnDU
Poisoned Chalice,"Hans Zimmer, Richard Harvey",The Da Vinci Code,2006-01-01,379733,https://open.spotify.com/track/2Xytv0T771U8oARM3AFOyR
Myotis,"James Newton Howard, Hans Zimmer",Batman Begins (Original Motion Picture Soundtrack),2005-06-14,346266,https://open.spotify.com/track/1qZQrn8IkfEW4l0fIqENSA
Why Do We Fall?,Hans Zimmer,The Dark Knight Rises (Original Motion Picture Soundtrack) [Deluxe Edition],2012-07-17,122870,https://open.spotify.com/track/0Mbd5y1ZlWzSUR2jNQAJXY
Mombasa,Hans Zimmer,Inception (Music from the Motion Picture),2010-07-09,294361,https://open.spotify.com/track/77QDBf1zTvyegtTpAO5EpH
Standby,Hans Zimmer,The Creator (Original Motion Picture Soundtrack),2023-09-29,371986,https://open.spotify.com/track/1Z5ypbu6ObC5448QvLykL5
Dust,Hans Zimmer,Interstellar (Original Motion Picture Soundtrack),2014-11-18,341395,https://open.spotify.com/track/2khIaVUkbMmDHB596lyMG3
Rise Up In Faith,"Hans Zimmer, Lorne Balfe, Lisa Gerrard",The Bible (Original TV Series Soundtrack),2013-01-01,164920,https://open.spotify.com/track/6KVqfAZSEGyeKEaftXpTZj
The Frozen Planet,"Hans Zimmer, Adam Lukas, James Everingham, AURORA",Frozen Planet II (Original Television Soundtrack),2022-10-07,263483,https://open.spotify.com/track/4A08n8UXRxuuLRkeFXcxxo
Main Theme [Rain Man] - Edit,Hans Zimmer,Hans Zimmer - Film Scores,2020-12-01,288600,https://open.spotify.com/track/36WsF31tBZmPPQ6ecwnp5O
Maestro,Hans Zimmer,The Holiday (Original Motion Picture Soundtrack),2006-01-09,233706,https://open.spotify.com/track/4SimUIFxXh5N6VsF33oMo7
Silver,Hans Zimmer,The Lone Ranger,2013-01-01,240893,https://open.spotify.com/track/2tYTZkz0EFZDBWRjRBi0z8
Matera - From ''No Time To Die'' Soundtrack,Hans Zimmer,Matera (From ''No Time To Die'' Soundtrack),2021-09-24,119306,https://open.spotify.com/track/2puwbaxJRizhBqd0PgELhv
The Citrine Cross,"Hans Zimmer, Richard Harvey",The Da Vinci Code,2006-01-01,321893,https://open.spotify.com/track/3XheSupwoFXI5jlafYU8AT
Avinu Malkeinu,"Hans Zimmer, Erik Contzius",The Survivor (Original Motion Picture Soundtrack),2022-04-29,139063,https://open.spotify.com/track/2REkiPSQa2jnWSTiWQbwhf
Open Hands,"Hans Zimmer, Omer Benyamin, Steven Doar",Twilight of the Gods (Soundtrack from the Netflix Series),2024-09-19,280946,https://open.spotify.com/track/6NmIB2TPV0b5lnQPwXADGs
I Will Find Him,Hans Zimmer,Man of Steel (Original Motion Picture Soundtrack),2013-06-11,177115,https://open.spotify.com/track/0XpjWpdnz2eVdYzPfYJk2J
Imagine The Fire,Hans Zimmer,The Dark Knight Rises (Original Motion Picture Soundtrack) [Deluxe Edition],2012-07-17,445180,https://open.spotify.com/track/0umlh8c6f97cLxW6KxSHlV
"End Credits - From ""Pirates of the Caribbean: On Stranger Tides""/Score",Hans Zimmer,Pirates of the Caribbean: On Stranger Tides,2011-01-01,117133,https://open.spotify.com/track/4fnU09o3JATmtpT5Y6pzQd
Mason's Walk - First Launch,"Nick Glennie-Smith, Hans Zimmer, Harry Gregson-Williams",The Rock,1996-01-01,575600,https://open.spotify.com/track/4IltWrZTvyw7dm8qcrfzBT
Lost but Won,Hans Zimmer,Rush (Original Motion Picture Soundtrack),2013-08-26,379666,https://open.spotify.com/track/5U8RciWth3LqnGmQgWSybT
There He Is,"Hans Zimmer, The Magnificent Six, Pharrell Williams, Johnny Marr",The Amazing Spider-Man 2 (The Original Motion Picture Soundtrack) [Deluxe],2014-04-11,174453,https://open.spotify.com/track/2Pbo14EGFh2AcC59azqFpq
Cold War,"Hans Zimmer, The Magnificent Six, Pharrell Williams, Johnny Marr",The Amazing Spider-Man 2 (The Original Motion Picture Soundtrack) [Deluxe],2014-04-11,208226,https://open.spotify.com/track/4nzi5xBoET1J5adHrJvLvd
Like a Dog Chasing Cars,"Hans Zimmer, James Newton Howard",The Dark Knight (Original Motion Picture Soundtrack),2008-07-14,302533,https://open.spotify.com/track/3j9WvPrVhZuH8AmTeVakfR
Opening Titles,Hans Zimmer,Call of Duty: Modern Warfare 2 (Original Game Score),2010-06-01,205333,https://open.spotify.com/track/4y0Lt1KOuyhKGkGKFZjSlS
Nycteris,"James Newton Howard, Hans Zimmer",Batman Begins (Original Motion Picture Soundtrack),2005-06-14,265706,https://open.spotify.com/track/77Y84k0Nk5Z8CQtdUUDJBB
