Track Name,Artist(s),Album,Release Date,Duration (ms),Spotify URL
How Deep Is Your Love,"Calvin Harris, Disciples",How Deep Is Your Love,2015-07-17,212640,https://open.spotify.com/track/22mek4IiqubGD9ctzxc69s
Thrift Shop (feat. Wanz),"Macklemore & Ryan Lewis, Wanz",The Heist,2012-10-10,235613,https://open.spotify.com/track/4YMqbFcDIFiCBd02PzUBcM
Unholy (feat. Kim Petras),"Sam Smith, Kim Petras",Unholy (feat. Kim Petras),2022-09-22,156943,https://open.spotify.com/track/3nqQXoyQOWXiESFLlDF1hG
So What,P!nk,Funhouse (Expanded Edition),2008-10-24,215160,https://open.spotify.com/track/0JiY190vktuhSGN6aqJdrt
Right Round (feat. Ke$ha),"Flo Rida, Kesha",Right Round,2009-02-09,202680,https://open.spotify.com/track/0wruS6JEQCGeYrvsCIdG0Z
Timber,"Pitbull, Kesha",Global Warming: Meltdown (Deluxe Version),2012,204160,https://open.spotify.com/track/3cHyrEgdyYRjgJKSOiOtcS
S&M,Rihanna,Loud,2010-11-16,243533,https://open.spotify.com/track/0C4ejWmOTMv8vuYj85mf8m
Girls Like (feat. Zara Larsson),"Tinie Tempah, Zara Larsson",YOUTH,2017-03-31,195306,https://open.spotify.com/track/5BOZ4skcMubA0R6RD4zf64
The Motto,"Tiësto, Ava Max",The Motto,2021-11-04,164818,https://open.spotify.com/track/18asYwWugKjjsihZ0YvRxO
Lay All Your Love On Me,"loafers, Badjack, Maxim Schunk",Lay All Your Love On Me,2022-06-30,155076,https://open.spotify.com/track/3bjM6KcvV1MwkAm7DJQb9O
I'm Good (Blue),"David Guetta, Bebe Rexha",I'm Good (Blue),2022-08-26,175238,https://open.spotify.com/track/4uUG5RXrOk84mYEfFvj3cK
Sweat - Snoop Dogg vs David Guetta Remix,"Snoop Dogg, David Guetta",Sweat (Snoop Dogg vs David Guetta Remix),2011-01-01,195986,https://open.spotify.com/track/0R7YVi7w41Dr9jU5vblAok
MONEY ON THE DASH - SPED UP,"Elley Duhé, Whethan",MONEY ON THE DASH,2023-01-20,116465,https://open.spotify.com/track/086THPnabbu1zfDjRsxpoN
i like the way you kiss me,Artemas,i like the way you kiss me,2024-03-19,142514,https://open.spotify.com/track/2GxrNKugF82CnoRFbQfzPf
Maneater,"JKRS, ECHO",Maneater,2023-02-17,154285,https://open.spotify.com/track/2apRbQlpckuUM282gW1Z6p
like that,"Ken, joki, Bassweed",like that,2024-08-16,112800,https://open.spotify.com/track/7kVo7tDs4cALcsSg3mRJZg
Kisses (feat. bbyclose),"BL3SS, CamrinWatsin, bbyclose",Kisses (feat. bbyclose),2024-03-22,138246,https://open.spotify.com/track/1bJRd2ey6ER7neSxZwYdAG
Prada,"cassö, RAYE, D-Block Europe",Prada,2023-08-11,132359,https://open.spotify.com/track/59NraMJsLaMCVtwXTSia8i
OUT OUT (feat. Charli XCX & Saweetie),"Joel Corry, Jax Jones, Charli xcx, Saweetie",OUT OUT (feat. Charli XCX & Saweetie),2021-08-13,162603,https://open.spotify.com/track/6Dy1jexKYriXAVG6evyUTJ
Gimme! Gimme! Gimme! (A Man After Midnight),"Masove, Brendan Mills, Niteblue, Tess Burrstone",Gimme! Gimme! Gimme! (A Man After Midnight),2022-12-01,135483,https://open.spotify.com/track/3jj5ZZ87UphCM0FmZzarpn
Talk Dirty (feat. 2 Chainz),"Jason Derulo, 2 Chainz",Tattoos,2013-09-10,177685,https://open.spotify.com/track/5l3CML2OnzfNs5RfVgbcLt
Promiscuous,"Nelly Furtado, Timbaland",Loose,2006-01-01,242293,https://open.spotify.com/track/2gam98EZKrF9XuOkU13ApN
Move,"Adam Port, Stryv, Keinemusik, Orso, Malachiii",Move,2024-06-07,177598,https://open.spotify.com/track/1BJJbSX6muJVF2AK7uH1x4
Pump It,Black Eyed Peas,Monkey Business,2005-01-01,213066,https://open.spotify.com/track/6btyEL6NwUa97Nex9cZFvo
bad guy,Billie Eilish,"WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?",2019-03-29,194087,https://open.spotify.com/track/2Fxmhks0bxGSBdJ92vM42m
Fancy,"Iggy Azalea, Charli xcx",The New Classic (Deluxe Version),2014-01-01,199938,https://open.spotify.com/track/3W3KtDwAIg3mAruSpnfG3Q
The Way I Are,"Timbaland, Keri Hilson, D.O.E.",Shock Value,2007-01-01,179120,https://open.spotify.com/track/2bLqfJjuC5syrsgDsZfGmn
Embrace It,Ndotz,Embrace It,2024-08-23,104418,https://open.spotify.com/track/0io16MKpbeDIdYzmGpQaES
Boss Bitch,Doja Cat,Boss Bitch,2020-01-23,134239,https://open.spotify.com/track/78qd8dvwea0Gosb6Fe6j3k
Work,"Rihanna, Drake",ANTI (Deluxe),2016-01-28,219320,https://open.spotify.com/track/72TFWvU3wUYdUuxejTTIzt
greedy,Tate McRae,greedy,2023-09-15,131872,https://open.spotify.com/track/3rUGC1vUpkDG9CZFHMur1t
Daydreaming,Bruklin,Daydreaming,2024-10-16,153529,https://open.spotify.com/track/6QkEV7Krf7WV2UdILlgN4Z
Tell Ur Girlfriend,Lay Bankz,Tell Ur Girlfriend,2024-02-07,124444,https://open.spotify.com/track/3lMzT16MjAKKXF7pSZn13B
Hollaback Girl,Gwen Stefani,Love. Angel. Music. Baby.,2004-11-12,199853,https://open.spotify.com/track/0eqH0ALoDQevq59YcQ53KE
Miss Independent,Ne-Yo,Year Of The Gentleman,2008-01-01,232000,https://open.spotify.com/track/1yJ5fyqBusR7Verj8JGsKV
Apple,Charli xcx,BRAT,2024-06-07,151739,https://open.spotify.com/track/19RybK6XDbAVpcdxSbZL1o
Houdini,Dua Lipa,Houdini,2023-11-09,185917,https://open.spotify.com/track/4OMJGnvZfDvsePyCwRGO7X
"yes, and?",Ariana Grande,"yes, and?",2024-01-12,214994,https://open.spotify.com/track/7gaA3wERFkFkgivjwbSvkG
Dance The Night - From Barbie The Album,Dua Lipa,Dance The Night (From Barbie The Album),2023-05-25,176579,https://open.spotify.com/track/1vYXt7VSjH9JIM5oRRo7vA
Hotter Now,LU KALA,Hotter Now,2023-09-22,181933,https://open.spotify.com/track/4BIyKFJ2pgh3eY7Hc4Ce0k
Espresso,Sabrina Carpenter,Espresso,2024-04-12,175459,https://open.spotify.com/track/2qSkIjg1o9h3YT9RAgYN75
Woman,Doja Cat,Planet Her,2021-06-25,172626,https://open.spotify.com/track/6Uj1ctrBOjOas8xZXGqKk4
Popular (with Playboi Carti & Madonna) - From The Idol Vol. 1 (Music from the HBO Original Series),"The Weeknd, Playboi Carti, Madonna",Popular (Music from the HBO Original Series),2023-06-02,215466,https://open.spotify.com/track/6WzRpISELf3YglGAh7TXcG
Boy's a liar Pt. 2,"PinkPantheress, Ice Spice",Boy's a liar Pt. 2,2023-02-03,131013,https://open.spotify.com/track/6AQbmUe0Qwf5PZnt4HmTXv
positions,Ariana Grande,Positions,2020-10-30,172324,https://open.spotify.com/track/35mvY5S1H3J2QZyna3TFe0
Made You Look,Meghan Trainor,Takin' It Back,2022-10-21,134256,https://open.spotify.com/track/0QHEIqNKsMoOY5urbzN48u
"Shakira: Bzrp Music Sessions, Vol. 53","Bizarrap, Shakira","Shakira: Bzrp Music Sessions, Vol. 53",2023-01-11,214945,https://open.spotify.com/track/4nrPB8O7Y7wsOCJdgXkthe
Envolver,Anitta,Versions of Me,2022-04-12,193805,https://open.spotify.com/track/3FkeNbs9Zeiqkr3WkbOiGp
Gata Only,"FloyyMenor, Cris Mj",Gata Only,2024-02-02,222000,https://open.spotify.com/track/6XjDF6nds4DE2BBbagZol6
TQG,"KAROL G, Shakira",MAÑANA SERÁ BONITO,2023-02-24,197933,https://open.spotify.com/track/0DWdj2oZMBFSzRsi2Cvfzf
Problem,"Ariana Grande, Iggy Azalea",Problem,2014-04-28,193986,https://open.spotify.com/track/0NenBmcPtlaBGYAhU798G4
Levitating (feat. DaBaby),"Dua Lipa, DaBaby",Future Nostalgia,2020-03-27,203064,https://open.spotify.com/track/5nujrmhLynf4yMoMtj8AQF
You Don't Know Me,"Jax Jones, RAYE",You Don't Know Me,2016-12-09,211935,https://open.spotify.com/track/7M16mAuWuFA5rC9HvkXaGx
Cake By The Ocean,"Felixx, Navagio",Cake By The Ocean,2024-04-18,143225,https://open.spotify.com/track/7tWCXKuPHxbt4NwCW31Pyo
Ferrari,"James Hype, Miggy Dela Rosa",Ferrari,2022-04-01,186661,https://open.spotify.com/track/4zN21mbAuaD0WqtmaTZZeP
Give It To Me - Full Vocal Mix,Matt Sassari,Give It To Me (Full Vocal Mix),2021-10-22,102860,https://open.spotify.com/track/5ZduaRci3iNUiDfJbBfAaf
The Way I Are - Techno Remix,"Consilium, RobxDan",The Way I Are (Techno Remix),2023-12-08,146000,https://open.spotify.com/track/2HaHE0atvHTRKvIzrAnUCD
Do It To It,"ACRAZE, Cherish",Do It To It,2021-08-20,157890,https://open.spotify.com/track/20on25jryn53hWghthWWW3
Let's Go (Magalenha),"Ian Asher, GIULIA BE",Let's Go (Magalenha),2024-11-22,163019,https://open.spotify.com/track/30Ca9XElifcBjngQrmg0yl
21 Reasons (feat. Ella Henderson),"Nathan Dawe, Ella Henderson",21 Reasons (feat. Ella Henderson),2022-04-29,155253,https://open.spotify.com/track/1RF02Cf80mTaeNXG2P2boR
Right Love,"Mark Mendy, Paradigm, Tiffany Aris",Right Love,2023-07-20,149280,https://open.spotify.com/track/70rvIf2cC2MLtELwap2wsS
Die Young,Kesha,Warrior (Expanded Edition),2012-11-30,211920,https://open.spotify.com/track/7EQGXaVSyEDsCWKmUcfpLk
