Track Name,Artist(s),Album,Release Date,Duration (ms),Spotify URL
It's ok I'm ok,Tate McRae,It's ok I'm ok (remixes),2024-10-11,156521,https://open.spotify.com/track/6WssBoE60A3yLBFIUH2dSx
Big Energy,Latto,Big Energy,2021-09-24,173182,https://open.spotify.com/track/6Zu3aw7FfjAF9WA0fA81Oq
exes,Tate McRae,THINK LATER,2023-12-08,159400,https://open.spotify.com/track/4E63weMCaNZuGPEFMnuEi8
Diva,Beyoncé,I AM...SASHA FIERCE,2008-11-14,200613,https://open.spotify.com/track/5Ssv6DaKrW0HczVqx6zXdl
Guess featuring billie eilish,"Charli xcx, Billie Eilish",Brat and it’s completely different but also still brat,2024-10-11,143330,https://open.spotify.com/track/0IsIY8pfu1yaGkPUD7pkDx
"1, 2 Step (feat. Missy Elliott)","Ciara, Missy Elliott",Goodies,2004-09-27,203786,https://open.spotify.com/track/7uKcScNXuO3MWw6LowBjW1
2 hands,Tate McRae,2 hands,2024-11-14,181820,https://open.spotify.com/track/1f18HzFpegqvH4ibGJyeMJ
Flowers,Miley Cyrus,Endless Summer Vacation,2023-08-18,200600,https://open.spotify.com/track/7DSAEUvxU8FajXtRloy8M0
Your Love Is My Drug,Kesha,Your Love Is My Drug,2010-05-14,187066,https://open.spotify.com/track/3QWMD4DwBJF6VQr60Q7ivW
Toxic,Britney Spears,In The Zone,2003-11-13,198800,https://open.spotify.com/track/6I9VzXrHxO9rA9A5euc8Ak
Get Into It (Yuh),Doja Cat,Planet Her,2021-06-25,138293,https://open.spotify.com/track/0W6I02J9xcqK8MtSeosEXb
Rockstar,LISA,Rockstar,2024-06-27,138213,https://open.spotify.com/track/6vvPecFTmWxDfEJ6cYT1wa
Work Bitch,Britney Spears,Britney Jean (Deluxe Version),2013-11-30,247960,https://open.spotify.com/track/3KliPMvk1EvFZu9cvkj8p1
hurt my feelings,Tate McRae,THINK LATER,2023-12-08,122416,https://open.spotify.com/track/4mFcwFOlSCxp6hjemRXwpd
Run the World (Girls),Beyoncé,4,2011-06-24,236093,https://open.spotify.com/track/1uXbwHHfgsXcUKfSZw5ZJ0
