Track Name,Artist(s),Album,Release Date,Duration (ms),Spotify URL
uh oh,Tate McRae,uh oh,2022-09-30,169721,https://open.spotify.com/track/6qmvAJSUfVGMubvI2awW7p
what's your problem?,Tate McRae,i used to think i could fly,2022-05-27,167373,https://open.spotify.com/track/3yoIliXhnorEdfTZ93W2YL
run for the hills,Tate McRae,THINK LATER,2023-12-08,143940,https://open.spotify.com/track/51hyZpbJlIgZIaX3TtMxmu
life got crazy,mike.,the highs.,2021-07-23,138928,https://open.spotify.com/track/5NXthnJecYXjt7sTEWETTY
Antidote,"Audien, Codeko, JT Roach",Antidote,2023-02-24,188679,https://open.spotify.com/track/6qIEUT4vS2g2g8EgqOS62o
Need You,Fresco Trey,Need You,2022-02-04,173065,https://open.spotify.com/track/5FkBoG7xkb0pPkaO8rS5td
Hurricane,I Prevail,TRAUMA,2019-03-29,223173,https://open.spotify.com/track/2GFwwTIVLjnOrtP7m9luHC
don't come back,Tate McRae,i used to think i could fly,2022-05-27,152786,https://open.spotify.com/track/3RhyHYnYxuGnP8njFlNxHq
rubberband,Tate McRae,TOO YOUNG TO BE SAD,2021-03-26,147253,https://open.spotify.com/track/2E8IlL26PwtZq7CqAHBBUw
BO$$ CHICK,Saweetie,THE SINGLE LIFE,2022-11-18,134760,https://open.spotify.com/track/0FAKS4dY2MADctcsPbmUvm
Good Girls Go Bad (feat. Leighton Meester),"Cobra Starship, Leighton Meester",Hot Mess,2009-08-07,196413,https://open.spotify.com/track/7kMfu3KUydmrFVGEAhjtyl
Treat You Better,Shawn Mendes,Illuminate,2017-04-20,187973,https://open.spotify.com/track/3QGsuHI8jO1Rx4JWLUh9jd
Hot Mess,Cobra Starship,Hot Mess,2009-08-07,172293,https://open.spotify.com/track/18eoNBn1L1li2TvPa2DupB
STARSTRUKK,3OH!3,WANT,2008-01-12,185533,https://open.spotify.com/track/76l2qPUq1nJ7HGKRiM7Ika
PSYCHO,"Anne-Marie, Aitch",PSYCHO,2022-09-15,162666,https://open.spotify.com/track/1eprzC29mwUQqcVj0eILdx
Feel So Close - Radio Edit,Calvin Harris,18 Months,2012-10-29,206413,https://open.spotify.com/track/1gihuPhrLraKYrJMAEONyc
Grew Apart,"Logan Mize, Alexandra Kay",Still That Kid,2021-01-27,172228,https://open.spotify.com/track/2RU1PfzpFn6mSSE08GVq23
Shut Up,Bryce Savage,Shut Up,2022-06-06,193363,https://open.spotify.com/track/0Eayasb96dmmwzSkeDHlwn
My Heart Hurts,"Atlus, Lexnour",My Heart Hurts,2020-10-07,192679,https://open.spotify.com/track/1W8GY0huZhDSpShuCgLoYH
You Had Me,Bryce Savage,You Had Me,2022-07-29,152181,https://open.spotify.com/track/7w2WXvslfZpd1ZZkPXh26k
