Track Name,Artist(s),Album,Release Date,Duration (ms),Spotify URL
Forever,Rascal Flatts,Unstoppable,2009-01-01,256853,https://open.spotify.com/track/4eqHcG3ffOYNGHxjDqY8Sv
La Forma Que Me Miras,"Myke Tower, Rafa Pabom",La Forma Que Me Miras,2019-05-17,188995,https://open.spotify.com/track/0s1YNEE8Db2QX9XRoPWS78
Tu Turno,"Karen Méndez, Juacko",Tu Turno,2020-02-07,199513,https://open.spotify.com/track/4Bl4hn37SpH9DAto3A0wz9
Kelede,DEKKO,Kelede,2022-02-01,159306,https://open.spotify.com/track/0ZZdfogjRhEGVI0ouw35tL
Alas Rotas,Estruendo,Ya Lo Veras,2005-01-01,179293,https://open.spotify.com/track/5Uo1qjtEQHhk7dxbkVAUUN
Nada Es Igual,Karen Méndez,Nada Es Igual,2020-04-24,251640,https://open.spotify.com/track/4CKntyb4V1au0i1ieEfapR
Que Locura Fue Enamorarme de Ti,"El Franko Dj, Papu DJ",Que Locura Fue Enamorarme de Ti,2019-04-05,139624,https://open.spotify.com/track/4fWucc60FmdHc86xtON7yx
Nada Es Igual - Remix,"Karen Méndez, iZaak",Nada Es Igual (Remix),2020-07-24,216385,https://open.spotify.com/track/3NZ9V69n2zfSowMUupBR1B
Tu Turno - Alex Rose Remix,"Karen Méndez, Juacko, Alex Rose",Tu Turno (Alex Rose Remix),2020-08-28,223689,https://open.spotify.com/track/69GAy8DWTseHKJ7y0cEEKH
You & Me (The Wildfire),Aron Wright,You & Me (The Wildfire),2019-03-06,242347,https://open.spotify.com/track/4ISCO9MWDxOuteeVAm2ZWh
Ella,"Rodri Roberts, Tomas Dobarro",Ella,2019-04-17,267789,https://open.spotify.com/track/5gEaRgl8znrlUPsKy1m40y
Inolvidable,"Ovy On The Drums, Beéle",Inolvidable,2020-01-15,225812,https://open.spotify.com/track/0OTtnwUO8natNWSwdZvXVF
Cómo Le Hiciste,Zamorales,Cómo Le Hiciste,2021-02-12,199016,https://open.spotify.com/track/3OskP3XBq8E8Mc9H5I3Enj
