Track Name,Artist(s),Album,Release Date,Duration (ms),Spotify URL
Shootout,"Izzamuzzic, Julien Marchal",Shootout,2022-06-30,295308,https://open.spotify.com/track/4pTkDIlpFNoeWbahu8pVXW
snowfall,"Øneheart, reidenshi",snowfall,2022-01-14,124065,https://open.spotify.com/track/4xF4ZBGPZKxECeDFrqSAG4
Cornfield Chase,Hans Zimmer,Interstellar (Original Motion Picture Soundtrack) [Expanded Edition],2014-11-18,126959,https://open.spotify.com/track/6pWgRkpqVfxnj3WuIcJ7WP
Experience,"Ludovico Einaudi, Daniel Hope, I Virtuosi Italiani",In A Time Lapse,2013-01-01,315426,https://open.spotify.com/track/1BncfTJAWxrsxyT9culBrj
Je te laisserai des mots,Patrick Watson,Je te laisserai des mots,2010-09-10,160853,https://open.spotify.com/track/0V5cvmTKsYmF5FmGGEAfmS
Ontario,"Novo Amor, Lowswimmer",Heiress,2017-11-10,192866,https://open.spotify.com/track/1XZPtZVqcOzzxbYIR7MjQw
New Home (Slowed),Austin Farwell,New Home (Slowed),2021-05-26,174521,https://open.spotify.com/track/6h6runZeeczWEuEW2pFvYW
Hearing,Sleeping At Last,Atlas: II,2019-11-01,248635,https://open.spotify.com/track/13Z3uZXTFpbLBZ8R1rTUKO
It's Ok - Slowed,Edith Whiskers,It's Ok (Slowed),2021-05-12,214371,https://open.spotify.com/track/5RKUztud1fb5UhO4gljjl7
Wind Song,Ludovico Einaudi,Underwater,2022-01-21,198649,https://open.spotify.com/track/48i1p3R9l9f7zjcHPJysZZ
Snow,Fabrizio Paterlini,Winter Stories,2018-02-23,158036,https://open.spotify.com/track/5EDLYLzDy7O7WQdBYM5udQ
Wind Brought,Evgeny Grinko,Outtakes,2018-12-09,84948,https://open.spotify.com/track/43f3oGrYrjcB06aNPVXH2T
Lights Are On - Instrumental,Edith Whiskers,Lights Are On (Instrumental),2021-11-05,192075,https://open.spotify.com/track/322jQ92QZRnliN8VbQMsUh
Rue des trois frères,Fabrizio Paterlini,Fragments Found,2010-10-29,111442,https://open.spotify.com/track/3lSOZb5rruEnFbe9xWELF6
Beving: Ala,Joep Beving,Trilogy,2021-08-06,120853,https://open.spotify.com/track/1ZC21hJb2GASRkaoZvUcCS
Together,"Austin Farwell, A N T I T H E S I S",Auspicious Pt. I,2021-10-15,132259,https://open.spotify.com/track/45CJZE0P0QBUo3bxjUxGgx
I Wanted to Leave,SYML,You Knew It Was Me,2020-11-27,203911,https://open.spotify.com/track/2Tq3fayHpjP2nOZlBEjt3N
Silence,TWO LANES,Drifting,2019-05-31,86250,https://open.spotify.com/track/2a8FNTijWDiS6HjmBtGLT6
Murph,Hans Zimmer,Interstellar (Original Motion Picture Soundtrack) [Expanded Edition],2014-11-18,680779,https://open.spotify.com/track/5GQizQBj0KxTUgd3ZRzaRE
S.T.A.Y.,Hans Zimmer,Interstellar (Original Motion Picture Soundtrack) [Expanded Edition],2014-11-18,383513,https://open.spotify.com/track/6GUq9y0Iy5QrAuPYxTrFp2
