Track Name,Artist(s),Album,Release Date,Duration (ms),Spotify URL
Type Shit,"Future, Metro Boomin, Travis Scott, Playboi Carti",WE DON'T TRUST YOU,2024-03-22,228266,https://open.spotify.com/track/28drn6tQo95MRvO0jQEo5C
Codeine Crazy,Future,Monster,2014-10-28,346906,https://open.spotify.com/track/0joQFwiBKmi6X1Iq5R1ubH
Show of Hands,"Future, Metro Boomin, A$AP Rocky",WE STILL DON'T TRUST YOU,2024-04-12,213853,https://open.spotify.com/track/0cGn4vxyoBftN61XUv2aQk
If We Being Rëal,Yeat,2093,2024-02-16,172500,https://open.spotify.com/track/0YThXX1dqUpYBLyJNAsF9N
Cinderella,"Future, Metro Boomin, Travis Scott",WE DON'T TRUST YOU,2024-03-22,169840,https://open.spotify.com/track/0hKtu53OlIFXVuYkZwcn3o
Like That,"Future, Metro Boomin, Kendrick Lamar",WE DON'T TRUST YOU,2024-03-22,267706,https://open.spotify.com/track/2tudvzsrR56uom6smgOcSf
Parking Lot,"Mustard, Travis Scott",Faith Of A Mustard Seed,2024-07-26,172794,https://open.spotify.com/track/6QkczdZb5WvMaRbx7FzBvy
Not Like Us,Kendrick Lamar,Not Like Us,2024-05-04,274192,https://open.spotify.com/track/6AI3ezQ4o3HUoP6Dhudph3
ss,Ken Carson,A Great Chaos (Deluxe),2024-07-05,184375,https://open.spotify.com/track/26QJuQfM8PVAWkIm1JRyqq
IDGAF (feat. Yeat),"Drake, Yeat",For All The Dogs,2023-10-06,260111,https://open.spotify.com/track/2YSzYUF3jWqb9YP9VXmpjE
No Flockin',Kodak Black,No Flockin',2015-11-13,165290,https://open.spotify.com/track/34oWbFBfGEElvgO0a5c9V4
Glock In My Lap,"21 Savage, Metro Boomin",SAVAGE MODE II,2020-10-02,193591,https://open.spotify.com/track/6pcywuOeGGWeOQzdUyti6k
Out thë way,Yeat,Lyfë,2022-09-09,150241,https://open.spotify.com/track/6IyoLWzljeR3ldQo4KWHT6
Runnin,"21 Savage, Metro Boomin",SAVAGE MODE II,2020-10-02,195906,https://open.spotify.com/track/5SWnsxjhdcEDc7LJjq9UHk
P power (feat. Drake),"Gunna, Drake",DS4EVER,2022-01-13,193346,https://open.spotify.com/track/0lEjxUUlKqjqXrVlIHFduD
Me or Sum (feat. Future & Lil Baby),"Nardo Wick, Future, Lil Baby",Me or Sum (feat. Future & Lil Baby),2021-11-29,225664,https://open.spotify.com/track/1qlh1WxuWilyIWRwdsKMuJ
AirplaneMode,BONES,IFeelLikeDirt,2019-11-29,75428,https://open.spotify.com/track/5XKZua8kqgHwcxeKiMIjge
Hellcats & Trackhawks,"Only The Family, Lil Durk",Only The Family - Lil Durk Presents: Loyal Bros,2021-03-05,146844,https://open.spotify.com/track/53tv6ZbyeAwfAUwFaxYbfO
Mona Lisa (feat. Kendrick Lamar),"Lil Wayne, Kendrick Lamar",Tha Carter V,2018-09-28,324189,https://open.spotify.com/track/0dbTQYW3Ad1FTzIA9t90E8
Drankin N Smokin,"Future, Lil Uzi Vert",Pluto x Baby Pluto,2020-11-13,213520,https://open.spotify.com/track/0k7wmahjkn389wAZdz19Cv
Hook Up,"Quality Control, Offset, Lil Baby",Quality Control: Control The Streets Volume 1,2017-12-08,207389,https://open.spotify.com/track/0gUGjvCXLxvLoBLXJVrUSl
Ready (feat. Gunna),"Lil Baby, Gunna",Street Gossip,2018-11-30,213287,https://open.spotify.com/track/4F6yN5FsFW10Ucx7cLCzBh
No Heart,"21 Savage, Metro Boomin",Savage Mode,2016-07-15,235040,https://open.spotify.com/track/4gmmRb6bZJffOOiww1JGTO
"F**kin' Problems (feat. Drake, 2 Chainz & Kendrick Lamar)","A$AP Rocky, Drake, 2 Chainz, Kendrick Lamar",LONG.LIVE.A$AP (Deluxe Version),2013,233786,https://open.spotify.com/track/4X5f3vT8MRuXF68pfjNte5
'Till I Collapse,"Eminem, Nate Dogg",The Eminem Show (Edited Version),2002-05-26,297906,https://open.spotify.com/track/6p4SUKhIyPqbmU828M0JWD
Not Afraid,Eminem,Recovery,2010-06-18,248133,https://open.spotify.com/track/7Ie9W94M7OjPoZVV216Xus
Bad Girls,M.I.A.,Matangi,2013-01-01,227520,https://open.spotify.com/track/6nzXkCBOhb2mxctNihOqbb
Woah,Lil Baby,Woah,2019-11-08,183011,https://open.spotify.com/track/598yNsG1JFrGd4n2kMoz7F
POWER,Kanye West,My Beautiful Dark Twisted Fantasy,2010-11-22,292093,https://open.spotify.com/track/2gZUPNdnz5Y45eiGxpHGSc
Prada,"cassö, RAYE, D-Block Europe",Prada,2023-08-11,132359,https://open.spotify.com/track/59NraMJsLaMCVtwXTSia8i
Die For You - Remix,"The Weeknd, Ariana Grande",Die For You (Remix),2023-02-24,232857,https://open.spotify.com/track/7oDd86yk8itslrA9HRP2ki
Womanizer,Britney Spears,Circus (Deluxe Version),2008-12-02,224400,https://open.spotify.com/track/4fixebDZAVToLbUCuEloa2
I Took A Pill In Ibiza - Seeb Remix,"Mike Posner, Seeb","At Night, Alone.",2016-05-06,197933,https://open.spotify.com/track/0vbtURX4qv1l7besfwmnD8
These Words,"Badger, Natasha Bedingfield",These Words,2024-04-05,136580,https://open.spotify.com/track/7leW1Dmvs9A4oDh9i5Qwpz
Smells Like Teen Spirit,Nirvana,Nevermind (Deluxe Edition),1991-09-26,301920,https://open.spotify.com/track/1f3yAtsJtY87CTmM8RLnxf
Trophies,"Young Money, Drake",Rise Of An Empire (Deluxe Edition),2014-01-01,188320,https://open.spotify.com/track/1nFgXsg2CUbyK0BJX9cmfj
Up All Night,"Drake, Nicki Minaj",Thank Me Later,2010-01-01,234333,https://open.spotify.com/track/75L0qdzRnhwV62UXoNq3pE
overseas,Ken Carson,overseas,2024-04-12,141031,https://open.spotify.com/track/7ovB5FvDwq1g7AG9ICYaNY
Low Life (feat. The Weeknd),"Future, The Weeknd",EVOL,2016-04-13,313546,https://open.spotify.com/track/7EiZI6JVHllARrX9PUvAdX
