Track Name,Artist(s),Album,Release Date,Duration (ms),Spotify URL
Day One (Interstellar Theme),Hans Zimmer,Interstellar (Original Motion Picture Soundtrack) [Expanded Edition],2014-11-18,199422,https://open.spotify.com/track/4WmB04GBqS4xPMYN9dHgBw
Dust,Hans Zimmer,Interstellar (Original Motion Picture Soundtrack) [Expanded Edition],2014-11-18,341395,https://open.spotify.com/track/1oFeXti9EanzUrHvWfRrfJ
No Time for Caution,Hans Zimmer,Interstellar (Original Motion Picture Soundtrack) [Expanded Edition],2014-11-18,246271,https://open.spotify.com/track/5aaXqH8rgKZxg61HjECldi
S.T.A.Y.,Hans Zimmer,Interstellar (Original Motion Picture Soundtrack) [Expanded Edition],2014-11-18,383513,https://open.spotify.com/track/6GUq9y0Iy5QrAuPYxTrFp2
Minecraft - Interstellar Version,Pianistec,Minecraft (Interstellar Version),2022-04-25,268363,https://open.spotify.com/track/15KmUR1PeoysKEhjUIQUmk
Cornfield Chase,Hans Zimmer,Interstellar (Original Motion Picture Soundtrack) [Expanded Edition],2014-11-18,126959,https://open.spotify.com/track/6pWgRkpqVfxnj3WuIcJ7WP
Mountains,Hans Zimmer,Interstellar (Original Motion Picture Soundtrack) [Expanded Edition],2014-11-18,219092,https://open.spotify.com/track/0Sg3UL7f40ulmTh0Xwr6qY
What Happens Now?,Hans Zimmer,Interstellar (Original Motion Picture Soundtrack) [Expanded Edition],2014-11-18,146181,https://open.spotify.com/track/1mFyfphkJZh8njixmeRAxF
Interstellar: Docking Theme (No Time for Caution) - Epic Version,Pianistec,Interstellar: Docking Theme (No Time for Caution) [Epic Version],2022-09-04,225000,https://open.spotify.com/track/0AvhTkiQlHNZOGG3Oq4Qby
Stay,Hans Zimmer,Interstellar (Original Motion Picture Soundtrack) [Expanded Edition],2014-11-18,412424,https://open.spotify.com/track/1fTAs4YpBA7R21i0iB4j54
Tick-Tock,Hans Zimmer,Interstellar (Original Motion Picture Soundtrack) [Expanded Edition],2014-11-18,498852,https://open.spotify.com/track/5Di0EOfzgABjIldD2GaMVm
Cornfield Chase,Dorian Marko,Cornfield Chase,2022-03-04,127817,https://open.spotify.com/track/4fhFlHloSh3y8qC3z7teXt
Interstellar - Main Theme -Trailer Version Extended (2014),The Meridian Studio Ensemble,The Dark Knight: The Film Music Of Hans Zimmer Volume 3,2016-08-12,246138,https://open.spotify.com/track/4Fx2a44W3JYyhS1x2UVmVE
First Step,Hans Zimmer,Interstellar (Original Motion Picture Soundtrack) [Expanded Edition],2014-11-18,107767,https://open.spotify.com/track/1gLLVtr9kIjmyoRzENZ11w
Interstellar Mountains (Epic Version),Pianistec,Interstellar Mountains (Epic Version),2021-05-13,265736,https://open.spotify.com/track/5wxBIQymUsyQdRNrnHHVt5
Time,Hans Zimmer,Inception (Music from the Motion Picture),2010-07-09,275556,https://open.spotify.com/track/6ZFbXIJkuI1dVNWvzJzown
Organ Variation,Hans Zimmer,Interstellar (Original Motion Picture Soundtrack) [Expanded Edition],2014-11-18,291805,https://open.spotify.com/track/6dkJvNZ7DJWzTFXv3KHmoT
"New Suite from ""Interstellar""",Ashton Gleckman,"New Suite from ""Interstellar""",2022-04-15,889221,https://open.spotify.com/track/1BuSM310OW9UdP549R1JOo
Interstellar Theme (Epic Emotional Piano Cover),"Brothers On Piano, Pianistec",Interstellar Theme (Epic Emotional Piano Cover),2024-07-24,418153,https://open.spotify.com/track/5oQP3fyDIwQe5udjd1eyh5
Interstellar Cornfield Chase,"Hans Zimmer, Alex Gibson, Ryan Rubin, Cameron Carpenter, Rahel Senn, NDR Radiophilharmonie, Michael England",Interstellar Cornfield Chase,2019-11-29,129216,https://open.spotify.com/track/0Dpd6s2c93trtEYT35y4m9
"Cornfield Chase - From ""Interstellar""",London Music Works,The Best of Hans Zimmer Vol.2,2015-03-31,130173,https://open.spotify.com/track/5dzNqDTLv6c1ct0vIOvZVD
Where We're Going,Hans Zimmer,Interstellar (Original Motion Picture Soundtrack) [Expanded Edition],2014-11-18,461268,https://open.spotify.com/track/7e41gTSV9fKdsDqOgS47Wg
