Track Name,Artist(s),Album,Release Date,Duration (ms),Spotify URL
Till I Collapse,"Eminem, Nate Dogg",The Eminem Show,2002-05-26,297786,https://open.spotify.com/track/4xkOaSrkexMciUUogZKVTS
Come As You Are,Nirvana,Nevermind (Remastered),1991-09-26,218920,https://open.spotify.com/track/4P5KoWXOxwuobLmHXLMobV
Can't Stop,Red Hot Chili Peppers,By the Way (Deluxe Edition),2002-07-09,269000,https://open.spotify.com/track/3ZOEytgrvLwQaqXreDs2Jx
(I Just) Died In Your Arms,Cutting Crew,Broadcast,1986-01-01,280400,https://open.spotify.com/track/4ByEFOBuLXpCqvO1kw8Wdm
Heaven,Bryan Adams,Reckless (30th Anniversary / Deluxe Edition),1984-11-05,243360,https://open.spotify.com/track/7Ewz6bJ97vUqk5HdkvguFQ
Use Somebody,Kings of Leon,Only By The Night,2008-09-23,230760,https://open.spotify.com/track/5VGlqQANWDKJFl0MBG3sg2
In My Room,Insane Clown Posse,Hell's Pit,2004-08-31,231146,https://open.spotify.com/track/7jKHJoOij35nfpq6PYHlFH
Welcome To The Jungle,Guns N' Roses,Appetite For Destruction,1987-07-21,273480,https://open.spotify.com/track/0G21yYKMZoHa30cYVi1iA8
Eye of the Tiger,Survivor,Eye Of The Tiger,1982,243773,https://open.spotify.com/track/2HHtWyy5CgaQbC7XSoOb0e
Don't Stop Believin' (2024 Remaster),Journey,Greatest Hits (2024 Remaster),1988-11-29,250835,https://open.spotify.com/track/5ehcf6UL1TkwozB386cRAp
Summer Of '69,Bryan Adams,Anthology,2005-10-18,215906,https://open.spotify.com/track/6n6RGnik6EjXbrHoIuq3W3
Jessie's Girl,Rick Springfield,The Best Of Rick Springfield,1999-03-20,192866,https://open.spotify.com/track/0TF3F5Lw5apoD1zvR8LikO
Your Love,The Outfield,Play Deep,1985-06-29,216466,https://open.spotify.com/track/4oDZ5L8izBals6jKBJDBcX
Any Way You Want It,Journey,Departure,1980,201693,https://open.spotify.com/track/71SvEDmsOwIWw1IozsZoMA
Wheel in the Sky (2024 Remaster),Journey,Greatest Hits (2024 Remaster),1988-11-29,254716,https://open.spotify.com/track/5i36c6C2XRw8U71yWgcoTn
Highway to Hell,AC/DC,Iron Man 2,2010-04-29,208920,https://open.spotify.com/track/1OIYK9Ya6EgwJ4fMngrPcK
I Want to Know What Love Is,Foreigner,Feels Like The First Time,2011-09-13,285666,https://open.spotify.com/track/04OjLvOApQve45B0ISx4XN
Sweater Weather,The Neighbourhood,I Love You.,2013-04-22,240400,https://open.spotify.com/track/2QjOHCTQ1Jl3zawyYOpxh6
Play It Again,Luke Bryan,Crash My Party (Deluxe),2014-08-12,226866,https://open.spotify.com/track/6ssBjjX1NrlTkp7vP3zN5t
Chicken Fried,Zac Brown Band,Country Hits,2017-08-11,238146,https://open.spotify.com/track/2vlsUYb9Z10QGYEMaiZ9EG
Take Me to Church,Hozier,Hozier,2014-10-07,241693,https://open.spotify.com/track/0aOluBqXYd0rFSCsgDyAWX
Shut Up and Dance,WALK THE MOON,TALKING IS HARD (Expanded Edition),2014-12-02,199080,https://open.spotify.com/track/0kzw2tRyuL9rzipi5ntlIy
Marry You,Bruno Mars,Wedding Songs 2021,2021-03-26,230120,https://open.spotify.com/track/1zuisfZILrDNlLmjiJe1MC
Single Ladies (Put a Ring on It),Beyoncé,I AM...SASHA FIERCE,2008-11-17,193213,https://open.spotify.com/track/5R9a4t5t5O0IsznsrKPVro
Locked out of Heaven,Bruno Mars,Unorthodox Jukebox,2012-12-10,233478,https://open.spotify.com/track/1qCdYQdkWvm4cYXAuOlbyc
Night Changes,One Direction,Simping Songs,2022-03-23,226600,https://open.spotify.com/track/7CYadeVGflfbnVLq6ep1tT
Rock With You,Michael Jackson,"HIStory - PAST, PRESENT AND FUTURE - BOOK I",1995-06-16,220040,https://open.spotify.com/track/5yxIenY5kSLlgTr3XGYw9p
How To Save A Life,The Fray,Through the Years: The Best of The Fray,2016-11-04,264213,https://open.spotify.com/track/50FcngS8mGjEttXk6G2xkh
No Scrubs,TLC,Fanmail,1999-02-23,214400,https://open.spotify.com/track/1KGi9sZVMeszgZOWivFpxs
I Was Made For Lovin' You,KISS,The Very Best Of Kiss,2002-01-01,268613,https://open.spotify.com/track/0HlGDGQPcqtphfwAqb1Bz0
Sweet Child O' Mine,Guns N' Roses,Greatest Hits,2020-08-28,355266,https://open.spotify.com/track/6DtmnN7wK6m8dI8UNaz3sG
Talking Body,Tove Lo,Queen Of The Clouds,2014-01-01,238493,https://open.spotify.com/track/3NS3174GAS0Wt1LimIXb3E
Jack and Dianne,So Far So Good,"ReCovered Hits, Vol. 3",2010-08-02,245182,https://open.spotify.com/track/7rERSyc2DvvFb4gDPETwvA
Hotel Room Service,Pitbull,Pitbull Starring In Rebelution,2009-08-31,237640,https://open.spotify.com/track/6Rb0ptOEjBjPPQUlQtQGbL
Holes,Passenger,All The Little Lights,2012-08-28,213173,https://open.spotify.com/track/6i1D00RfMyWljXRXz0QGzh
Jessie's Girl,Rick Springfield,Working Class Dog,1981-03-13,194120,https://open.spotify.com/track/5RsUlxLto4NZbhJpqJbHfN
Don't Cry (Original),Guns N' Roses,Use Your Illusion I,1991-09-17,283733,https://open.spotify.com/track/2N2yrmodOnVF10mKvItC9P
Custer,Slipknot,.5: The Gray Chapter (Special Edition),2014-10-15,254466,https://open.spotify.com/track/3GiJq4AQK7324mfIQbpiTf
Shallow,"Lady Gaga, Bradley Cooper",A Star Is Born Soundtrack,2018-10-05,215733,https://open.spotify.com/track/2VxeLyX666F8uXCJ0dZF8B
Love You Anyway,Luke Combs,Love You Anyway,2023-02-10,229626,https://open.spotify.com/track/3qXsX3mYSsD1DmAvc3PE3N
I'll Make a Man Out of You,"Donny Osmond, Chorus - Mulan, Disney",Mulan (Original Soundtrack),1998-01-01,201680,https://open.spotify.com/track/28UMEtwyUUy5u0UWOVHwiI
Fast Car,Luke Combs,Gettin' Old,2023-03-24,265493,https://open.spotify.com/track/1Lo0QY9cvc8sUB2vnIOxDT
Love Me Like You Do,Ellie Goulding,Fifty Shades Freed (Original Motion Picture Soundtrack),2018-02-09,253520,https://open.spotify.com/track/0Cy7wt6IlRfBPHXXjmZbcP
That Should Be Me,Justin Bieber,My World 2.0,2010-01-01,232720,https://open.spotify.com/track/0aPZbnkMoWJaJ5CNVLCj8S
One Time,Justin Bieber,My World,2009-01-01,215866,https://open.spotify.com/track/6eDApnV9Jdb1nYahOlbbUh
Like a Virgin,Madonna,Like a Virgin,1984-11-12,218626,https://open.spotify.com/track/1ZPlNanZsJSPK5h9YZZFbZ
Last Night,Morgan Wallen,3 Songs At A Time Sampler,2023-01-31,163854,https://open.spotify.com/track/59uQI0PADDKeE6UZDTJEe8
Let's Talk About Sex,Salt-N-Pepa,Blacks' Magic,1990-01-01,213266,https://open.spotify.com/track/6hTBP6QLwJdxbKyLlLXrGo
Me and My Kind,Cody Johnson,Cowboy Like Me,2014-01-14,156200,https://open.spotify.com/track/4rW9EUFaMSNVY8JhbqrB6z
Hot Wings (I Wanna Party),"will.i.am, Jamie Foxx, Anne Hathaway",Rio: Music From The Motion Picture,2011-01-01,136693,https://open.spotify.com/track/0BxhafwvN6GXIyyvi27A0I
Carry on Wayward Son,Kansas,Leftoverture (Expanded Edition),1976,323000,https://open.spotify.com/track/4DMKwE2E2iYDKY01C335Uw
She's Country,Jason Aldean,Wide Open,2009-04-07,220573,https://open.spotify.com/track/0PspNrE4MSjr1JeB4OW0jn
We Didn't Start the Fire,Billy Joel,Storm Front,1989-10-17,287733,https://open.spotify.com/track/3Cx4yrFaX8CeHwBMReOWXI
Dirty Laundry,Don Henley,I Can't Stand Still,1982-08-13,336800,https://open.spotify.com/track/7LFer4drCtWSyD8oxORZtC
Bennie And The Jets - Remastered 2014,Elton John,Goodbye Yellow Brick Road (Remastered),1973-10-05,322548,https://open.spotify.com/track/5Wj1rJnCLpMHdLaxsFtJLs
House Of The Rising Sun,The Animals,The Animals,1964-01-01,271280,https://open.spotify.com/track/7BY005dacJkbO6EPiOh2wb
American Pie,Don McLean,American Pie,1971,516893,https://open.spotify.com/track/1fDsrQ23eTAVFElUMaf38X
Since U Been Gone,Kelly Clarkson,Breakaway,2004-01-17,188960,https://open.spotify.com/track/3xrn9i8zhNZsTtcoWgQEAd
