Track Name,Artist(s),Album,Release Date,Duration (ms),Spotify URL
First Step,Hans Zimmer,Interstellar (Original Motion Picture Soundtrack) [Expanded Edition],2014-11-18,107767,https://open.spotify.com/track/1gLLVtr9kIjmyoRzENZ11w
Day One (Interstellar Theme),"Cafe De Anatolia, Rialians on Earth, Billy Esteban",Day One (Interstellar Theme),2024-08-14,246947,https://open.spotify.com/track/1kxI4sSdWVBh4PmcCY4kV3
Do Not Go Gentle Into That Good Night,"Hans Zimmer, John Lithgow, Ellen Burstyn, Casey Affleck, Jessica Chastain, Matthew McConaughey, Mackenzie Foy",Interstellar (Original Motion Picture Soundtrack) [Expanded Edition],2014-11-18,99104,https://open.spotify.com/track/4vSlIeLQxLnmSMGO8VggwM
Dreaming of the Crash,Hans Zimmer,Interstellar (Original Motion Picture Soundtrack) [Expanded Edition],2014-11-18,235837,https://open.spotify.com/track/2dDuHXxFxLsdYdBBtgjoEi
Snowfall,"Rialians on Earth, Cafe De Anatolia, Billy Esteban, CDA Records",Snowfall,2024-10-04,198421,https://open.spotify.com/track/7mLOnrsfKy0KjlCTOO1Tb2
Cornfield Chase,Hans Zimmer,Interstellar (Original Motion Picture Soundtrack) [Expanded Edition],2014-11-18,126959,https://open.spotify.com/track/6pWgRkpqVfxnj3WuIcJ7WP
Dust,Hans Zimmer,Interstellar (Original Motion Picture Soundtrack) [Expanded Edition],2014-11-18,341395,https://open.spotify.com/track/1oFeXti9EanzUrHvWfRrfJ
Day One (Interstellar Theme),Hans Zimmer,Interstellar (Original Motion Picture Soundtrack) [Expanded Edition],2014-11-18,199422,https://open.spotify.com/track/4WmB04GBqS4xPMYN9dHgBw
Stay,Hans Zimmer,Interstellar (Original Motion Picture Soundtrack) [Expanded Edition],2014-11-18,412424,https://open.spotify.com/track/1fTAs4YpBA7R21i0iB4j54
Message from Home,Hans Zimmer,Interstellar (Original Motion Picture Soundtrack) [Expanded Edition],2014-11-18,100877,https://open.spotify.com/track/7A9l2AElHS3jM8EeESsesm
The Wormhole,Hans Zimmer,Interstellar (Original Motion Picture Soundtrack) [Expanded Edition],2014-11-18,90569,https://open.spotify.com/track/5tWPl23tRGaEbSz3f0lTsW
Mountains,Hans Zimmer,Interstellar (Original Motion Picture Soundtrack) [Expanded Edition],2014-11-18,219092,https://open.spotify.com/track/0Sg3UL7f40ulmTh0Xwr6qY
Afraid of Time,Hans Zimmer,Interstellar (Original Motion Picture Soundtrack) [Expanded Edition],2014-11-18,152672,https://open.spotify.com/track/1UbDqlLHBY7SxKVamO6hqJ
A Place Among the Stars,Hans Zimmer,Interstellar (Original Motion Picture Soundtrack) [Expanded Edition],2014-11-18,207117,https://open.spotify.com/track/7KNoh3Bn4QfgkIGBywkAB0
Running Out,Hans Zimmer,Interstellar (Original Motion Picture Soundtrack) [Expanded Edition],2014-11-18,117241,https://open.spotify.com/track/2S55wdtM46ufVMrRCQwm5o
I'm Going Home,Hans Zimmer,Interstellar (Original Motion Picture Soundtrack) [Expanded Edition],2014-11-18,348552,https://open.spotify.com/track/4GcFycJt14aqnUGiEgG3JH
Coward,Hans Zimmer,Interstellar (Original Motion Picture Soundtrack) [Expanded Edition],2014-11-18,506876,https://open.spotify.com/track/4GBZUZe04pHVN0TLhejCSS
Detach,Hans Zimmer,Interstellar (Original Motion Picture Soundtrack) [Expanded Edition],2014-11-18,402202,https://open.spotify.com/track/4LFTLsnrGGZFtHdjlrV8Gx
S.T.A.Y.,Hans Zimmer,Interstellar (Original Motion Picture Soundtrack) [Expanded Edition],2014-11-18,383513,https://open.spotify.com/track/6GUq9y0Iy5QrAuPYxTrFp2
Where We're Going,Hans Zimmer,Interstellar (Original Motion Picture Soundtrack) [Expanded Edition],2014-11-18,461268,https://open.spotify.com/track/7e41gTSV9fKdsDqOgS47Wg
Flying Drone,Hans Zimmer,Interstellar (Original Motion Picture Soundtrack) [Expanded Edition],2014-11-18,113193,https://open.spotify.com/track/1xdoNSWRU59XRgtOgoQ1KH
Atmospheric Entry,Hans Zimmer,Interstellar (Original Motion Picture Soundtrack) [Expanded Edition],2014-11-18,100985,https://open.spotify.com/track/3rrIDEeu3ih9dAzop5LiPk
No Need to Come Back,Hans Zimmer,Interstellar (Original Motion Picture Soundtrack) [Expanded Edition],2014-11-18,272909,https://open.spotify.com/track/31MXzK5KypH22SbSH7udKf
Imperfect Lock,Hans Zimmer,Interstellar (Original Motion Picture Soundtrack) [Expanded Edition],2014-11-18,414896,https://open.spotify.com/track/6PUTy3CwaxVbWuAIfAzw8X
No Time for Caution,Hans Zimmer,Interstellar (Original Motion Picture Soundtrack) [Expanded Edition],2014-11-18,246271,https://open.spotify.com/track/5aaXqH8rgKZxg61HjECldi
What Happens Now?,Hans Zimmer,Interstellar (Original Motion Picture Soundtrack) [Expanded Edition],2014-11-18,146181,https://open.spotify.com/track/1mFyfphkJZh8njixmeRAxF
