Track Name,Artist(s),Album,Release Date,Duration (ms),Spotify URL
Party In The U.S.A.,Miley Cyrus,The Time Of Our Lives (International Version),2009-01-01,202066,https://open.spotify.com/track/3E7dfMvvCLUddWissuqMwr
Like A G6,"Far East Movement, The Cataracs, DEV",Free Wired,2010-01-01,216893,https://open.spotify.com/track/4DvhkX2ic4zWkQeWMwQ2qf
Thrift Shop (feat. Wanz),"Macklemore & Ryan Lewis, Wanz",The Heist (Deluxe Edition),2012-10-09,235613,https://open.spotify.com/track/3AYcyxEACnmE6d96RPubID
Super Bass,Nicki Minaj,Pink Friday (Deluxe),2010-01-01,200013,https://open.spotify.com/track/0iYebKFUSfF72fUu2OW6ZT
Beauty And A Beat,"Justin Bieber, Nicki Minaj",Believe (Deluxe Edition),2012-06-15,227986,https://open.spotify.com/track/190jyVPHYjAqEaOGmMzdyk
You Make Me Feel... (feat. Sabi),"Cobra Starship, Sabi",Night Shades,2011-08-29,215693,https://open.spotify.com/track/16Of7eeW44kt0a1M0nitHM
We Found Love,"Rihanna, Calvin Harris",Talk That Talk (Explicit),2011-01-01,215226,https://open.spotify.com/track/1zv3WFUbZ5vPxFq9I2jAU1
Feel This Moment (feat. Christina Aguilera),"Pitbull, Christina Aguilera",Global Warming: Meltdown (Deluxe Version),2012,229506,https://open.spotify.com/track/0Hf4aIJpsN4Os2f0y0VqWl
Scream & Shout,"will.i.am, Britney Spears",#willpower,2013-01-01,283400,https://open.spotify.com/track/2iJuuzV8P9Yz0VSurttIV5
Yeah! (feat. Lil Jon & Ludacris),"USHER, Lil Jon, Ludacris",Confessions (Expanded Edition),2004-03-23,250373,https://open.spotify.com/track/5rb9QrpfcKFHM1EUbSIurX
Sexy And I Know It,LMFAO,Sorry For Party Rocking (Deluxe Version),2011-01-01,199480,https://open.spotify.com/track/0obBFrPYkSoBJbvHfUIhkv
Shake It,Metro Station,Metro Station,2007-09-18,179946,https://open.spotify.com/track/5619Ojc6t9evEEs3B7Drhe
Poker Face,Lady Gaga,The Fame,2008-01-01,237200,https://open.spotify.com/track/0WfKDYeUAoLA3vdvLKKWMW
Baby,"Justin Bieber, Ludacris",My World 2.0,2010-01-01,214240,https://open.spotify.com/track/6epn3r7S14KUqlReYr77hA
Fuck You,CeeLo Green,The Lady Killer,2010-11-09,222933,https://open.spotify.com/track/4ycLiPVzE5KamivXrAzGFG
TiK ToK,Kesha,Animal (Expanded Edition),2010-01-01,199693,https://open.spotify.com/track/0HPD5WQqrq7wPWR7P7Dw1i
We R Who We R,Kesha,Cannibal (Expanded Edition),2010-11-19,204760,https://open.spotify.com/track/3LUWWox8YYykohBbHUrrxd
Your Love Is My Drug,Kesha,Animal (Expanded Edition),2010-01-01,187133,https://open.spotify.com/track/6vc2Jq2vaGu8z326kSrw92
Give Me Everything (feat. Nayer),"Pitbull, AFROJACK, Ne-Yo, Nayer",Planet Pit (Deluxe Version),2011-06-17,252306,https://open.spotify.com/track/4QNpBfC0zvjKqPJcyqBy9W
Wild Ones (feat. Sia),"Flo Rida, Sia",Wild Ones,2012-06-22,232946,https://open.spotify.com/track/1NpW5kyvO4XrNJ3rnfcNy3
Call Me Maybe,Carly Rae Jepsen,Kiss,2012-01-01,193400,https://open.spotify.com/track/20I6sIOMTCkB6w7ryavxtO
I Gotta Feeling,Black Eyed Peas,THE E.N.D. (THE ENERGY NEVER DIES) [Deluxe Version],2009-01-01,289133,https://open.spotify.com/track/4kLLWz7srcuLKA7Et40PQR
Payphone,"Maroon 5, Wiz Khalifa",Overexposed Track By Track,2012-01-01,231173,https://open.spotify.com/track/1XGmzt0PVuFgQYYnV2It7A
Whistle,Flo Rida,Wild Ones,2012-06-22,224653,https://open.spotify.com/track/3bC1ahPIYt1btJzSSEyyrF
Club Can't Handle Me (feat. David Guetta),"Flo Rida, David Guetta",Only One Flo (Part 1),2010-11-24,234560,https://open.spotify.com/track/6ebkx7Q5tTxrCxKq4GYj0Y
Roar,Katy Perry,PRISM (Deluxe),2013-10-18,223546,https://open.spotify.com/track/6F5c58TMEs1byxUstkzVeM
Raise Your Glass,P!nk,Raise Your Glass,2010-10-05,202960,https://open.spotify.com/track/1gv4xPanImH17bKZ9rOveR
Eenie Meenie,"Sean Kingston, Justin Bieber",Eenie Meenie,2010-03-23,201946,https://open.spotify.com/track/4vVTI94F9uJ8lHNDWKv0i2
Where Them Girls At (feat. Nicki Minaj & Flo Rida),"David Guetta, Flo Rida, Nicki Minaj",Nothing but the Beat (Ultimate Edition),2012-12-07,194840,https://open.spotify.com/track/7ks6AZmFcm3Y6PGGxGSmlB
Stay The Night - Featuring Hayley Williams Of Paramore / Zedd & Kevin Drew Remix,"Zedd, Hayley Williams, Kevin Drew",Stay The Night (Remixes Featuring Hayley Williams Of Paramore),2014-01-01,244160,https://open.spotify.com/track/0TbDqyJpZl3juUteFEusQD
In the End,Linkin Park,Hybrid Theory (Bonus Edition),2000,216880,https://open.spotify.com/track/60a0Rd6pjrkxjPbaKzXjfq
I Just Had Sex,"The Lonely Island, Akon",Turtleneck & Chain (Explicit Version),2011-01-01,166560,https://open.spotify.com/track/5PEleSkK4p4E1sx3x7cOLt
Stronger (What Doesn't Kill You),Kelly Clarkson,Stronger (Deluxe Version),2011-10-24,221946,https://open.spotify.com/track/1nInOsHbtotAmEOQhtvnzP
E.T.,"Katy Perry, Kanye West",Teenage Dream: The Complete Confection,2012-01-01,229573,https://open.spotify.com/track/1CUk09iecf4kLvLuhxerdS
What Do You Mean?,Justin Bieber,Purpose (Deluxe),2015-11-13,205680,https://open.spotify.com/track/4B0JvthVoAAuygILe3n4Bs
Never Forget You,"Zara Larsson, MNEK",So Good,2017-03-17,213427,https://open.spotify.com/track/6hmhG1b4LEyNuashVvuIAo
A Thousand Miles,Vanessa Carlton,Be Not Nobody,2002-04-30,237493,https://open.spotify.com/track/4w1lzcaoZ1IC2K5TwjalRP
Last Friday Night (T.G.I.F.),Katy Perry,Teenage Dream,2010-08-24,230733,https://open.spotify.com/track/3oHNJECGN3bBoGXejlw2b1
The Monster,"Eminem, Rihanna",The Marshall Mathers LP2,2013-11-05,250188,https://open.spotify.com/track/48RrDBpOSSl1aLVCalGl5C
"Moves Like Jagger - Studio Recording From ""The Voice"" Performance","Maroon 5, Christina Aguilera",Hands All Over (Revised International Standard version),2010,201493,https://open.spotify.com/track/7pYfyrMNPn3wtoCyqcTVoI
Sexy Bitch (feat. Akon),"David Guetta, Akon",One More Love,2010-11-22,195853,https://open.spotify.com/track/1B3t5xC2jzTgjDOwawchu8
Sweet Nothing (feat. Florence Welch),"Calvin Harris, Florence Welch",18 Months,2012-10-29,212560,https://open.spotify.com/track/24LS4lQShWyixJ0ZrJXfJ5
Who Dat Girl (feat. Akon),"Flo Rida, Akon",Only One Flo (Part 1),2010-11-24,200880,https://open.spotify.com/track/7z73ehYAn9O1XP9XlCqVtd
DJ Got Us Fallin' In Love (feat. Pitbull),"USHER, Pitbull",Raymond v Raymond (Expanded Edition),2010-03-30,220800,https://open.spotify.com/track/4356Typ82hUiFAynbLYbPn
The Fix (feat. Jeremih),"Nelly, Jeremih",The Fix (feat. Jeremih),2015-08-14,173045,https://open.spotify.com/track/33QRsLBBdWDYgCZfWEZqR6
Anaconda,Nicki Minaj,The Pinkprint (International Deluxe Explicit),2014-12-12,260239,https://open.spotify.com/track/5eqiMMbaeUZ32Q7sS00H35
Right There,"Nicole Scherzinger, 50 Cent",Killer Love,2011-01-01,262266,https://open.spotify.com/track/37zRksHz9dKYuhDoQfXJo3
Without You (feat. Usher),"David Guetta, USHER",Nothing but the Beat (Ultimate Edition),2012-12-07,208133,https://open.spotify.com/track/3UN6cIn3VIyg0z1LCuFSum
Time of Our Lives,"Pitbull, Ne-Yo",Globalization,2014-11-21,229360,https://open.spotify.com/track/2bJvI42r8EF3wxjOuDav4r
Perfect,One Direction,Made In The A.M. (Deluxe Edition),2015-11-13,230333,https://open.spotify.com/track/3NLnwwAQbbFKcEcV8hDItk
Shower,Becky G,Shower,2014-04-23,206166,https://open.spotify.com/track/3DmW6y7wTEYHJZlLo1r6XJ
We Found Love,"Rihanna, Calvin Harris",Talk That Talk (Deluxe),2012-07-18,215226,https://open.spotify.com/track/5uImkHXfTLkNYwemtGH7kB
One Less Lonely Girl,Justin Bieber,My Worlds (Oz Version),2010-01-01,229106,https://open.spotify.com/track/4YOlZCfnPBfy1ixfSRp07T
Heroes (we could be),"Alesso, Tove Lo",Forever,2015-05-22,210013,https://open.spotify.com/track/3zU9rdflI65tK4dkkNSp77
The Way,"Ariana Grande, Mac Miller",Yours Truly,2013-01-01,227026,https://open.spotify.com/track/06EL94D0TA27Ik0Ke5usbj
