Track Name,Artist(s),Album,Release Date,Duration (ms),Spotify URL
Interstellar,disociado,Interstellar,2024-03-23,97882,https://open.spotify.com/track/0QusDdunP0vJSedauF9fY8
time. - slowed & reverb,"pandora., chillwithme, cødy",Best of pandora. (slowed & reverb),2023-07-15,130932,https://open.spotify.com/track/014MYZHH8OOz8eDyFGYWed
The Perfect Girl,"disociado, Luskos",The Perfect Girl,2023-10-30,169862,https://open.spotify.com/track/3Vbg3so5enWs8f7hA6QlrS
Interstellar,disociado,Interstellar,2024-03-23,97882,https://open.spotify.com/track/0QusDdunP0vJSedauF9fY8
My Wish,widx.,My Wish,2024-05-03,127258,https://open.spotify.com/track/1wnyLSOvJLy50ctguGz9R8
snowfall,"Øneheart, reidenshi",snowfall,2022-01-14,124065,https://open.spotify.com/track/4xF4ZBGPZKxECeDFrqSAG4
Rain Inside,happo.,Rain Inside,2023-12-18,119294,https://open.spotify.com/track/6S7cjysncwpQcGmzwUMgBc
Interstellar,disociado,Interstellar,2024-03-23,97882,https://open.spotify.com/track/0QusDdunP0vJSedauF9fY8
hope to see you again,Antent,hope to see you again,2023-02-10,147764,https://open.spotify.com/track/3vfYc2JwOEhV8Rr1RxBlGu
Interstellar,disociado,Interstellar,2024-03-23,97882,https://open.spotify.com/track/0QusDdunP0vJSedauF9fY8
Restless,"seeyouthere, Nitewalk",Restless,2024-04-15,142857,https://open.spotify.com/track/6wun660dl1qDlG7GlzL6oi
interstellar.,"pandora., chillwithme, cødy",daydream.,2023-03-06,97883,https://open.spotify.com/track/4eEfckO9ZJlMntQJFEjxq6
Memory Reboot,Luskos,Memory Reboot,2023-11-29,204241,https://open.spotify.com/track/1GqosCRecKMz8Ycb1HX0o3
Catch Me,"Inan, auroratønes",Catch Me,2023-09-22,121773,https://open.spotify.com/track/0Jge1mK0sGA5mH1OXYow2s
Lucid Dream,"seeyouthere, Nitewalk",Lucid Dream,2024-05-15,109200,https://open.spotify.com/track/1blNsL0O37NYMQxYVsiVCw
Lost Woods,happo.,Lost Woods,2023-09-29,139000,https://open.spotify.com/track/3kB6DqvwMcPqDdTnmspybi
Wake Up,c152,Wake Up,2023-11-13,154666,https://open.spotify.com/track/5zXE05fAb3vRhjui5ngRcg
School Rooftop (Intro) [Slowed Down Version],"Hisohkah, WMD",School Rooftop (Intro) [Slowed Down Version],2021-07-30,126000,https://open.spotify.com/track/1ExDyvuvYw8aDaqpPqsVZh
Demons,Luskos,Demons,2023-11-30,182062,https://open.spotify.com/track/1zYzSdC8K7FXoSpqOYiOMl
Another Love,Luskos,Another Love,2023-11-27,145642,https://open.spotify.com/track/1U1NKMdXgKwrza7Y3DJ2i6
scrolling through the internet,"Headphone Activist, sevenlies",October,2023-10-27,151887,https://open.spotify.com/track/6PD9GES1JK2BJjp1265AHA
Despair,tri5te,Despair,2024-02-28,205714,https://open.spotify.com/track/4wkvsQT5EKWgDg7M6QwL3n
Gloomy Day,tri5te,Gloomy Day,2024-02-26,224914,https://open.spotify.com/track/2DmmHm0jmO2xhaVNQjfqh4
Melancholy,tri5te,Melancholy,2024-02-16,185514,https://open.spotify.com/track/6n6W2gO1RHDKEwo7n6m844
Childhood Memories,happo.,Childhood Memories,2023-12-22,110117,https://open.spotify.com/track/3r64A6LqrpgogrXkNWy4Kj
Tears In The Rain,tri5te,Tears In The Rain,2024-02-09,193246,https://open.spotify.com/track/64OonL1SeHAJJ84eNY2ZgB
Lost in Translation,tri5te,Lost in Translation,2024-02-07,172303,https://open.spotify.com/track/6nAYA70PbSYUOkSZCiLIZZ
