Track Name,Artist(s),Album,Release Date,Duration (ms),Spotify URL
Interstellar Main Theme - Piano Version,Patrik Pietschmann,Interstellar Main Theme (Piano Version),2019-05-17,284615,https://open.spotify.com/track/7xEX406hnVXC7mDfkts2jc
Interstellar Main Theme - Piano,Soundtrack Orchestra,Interstellar Main Theme,2019-04-03,286255,https://open.spotify.com/track/7cPV1U8iamgwCLatx3ufYn
No Time for Caution (From “Interstellar”),Grissini Project,"Grissini Project : Musique de jeux vidéos, animés et films",2018-10-08,213660,https://open.spotify.com/track/5fh9lUPeak0jxFDaVuMWMC
Mountains (From “Interstellar”),Grissini Project,Mountains (From “Interstellar”),2018-06-13,255135,https://open.spotify.com/track/0J2hrjsC19hcx7Vx99ABeI
Interstellar (Piano Arrangement),The Theorist,"Piano Covers, Vol. 1",2015-04-16,140068,https://open.spotify.com/track/6yfDt1GK8FbhMjAaEIrB3k
Interstellar (Medley Cover),Magnus Bjerke Hofgaard,Interstellar (Medley Cover),2019-02-24,351000,https://open.spotify.com/track/1P2y6LwB9xK77l0xO9o3q4
Interstellar (Main Theme),Random Piano,"Piano Covers, Vol. 1",2020-04-23,272548,https://open.spotify.com/track/12YjRUohhHJOLPYnInULxl
Cornfield Chase - Piano-Cello Version,"Hans Zimmer, Alex Gibson, Ryan Rubin, Michael Forster",Cornfield Chase (Piano-Cello Version),2018-01-05,124453,https://open.spotify.com/track/3mhqTYu9T3qAN75Knphqlu
"Interstellar Suite (From ""Interstellar"")","Hans Zimmer, Danish National Symphony Orchestra, Antony Hermus",Galaxymphony,2019-12-29,446741,https://open.spotify.com/track/1r7W5jII85o9tiXME9N78v
cornfield chase (theme from interstellar) - piano version,Sjors Weijermars,cornfield chase expansion pack,2022-02-18,125304,https://open.spotify.com/track/4Odk5BklixcwuNEwFzaYnv
Cornfield Chase - Instrumental Version,"Hans Zimmer, Javi Lobe",Cornfield Chase,2020-06-05,207000,https://open.spotify.com/track/3wRYDiiBGQaX8c8iIX4wEf
Day One: Interstellar (Piano Version),Nicola Lerra,Day One: Interstellar (Piano Version),2020-05-05,290000,https://open.spotify.com/track/1Zpc79VDT8asi2cifBV3U7
S.T.A.Y. (From Interstellar),Piano Sunday Covers,Heartfelt Movie Scores,2020-06-19,279813,https://open.spotify.com/track/51rv0PwUdnFJNdf04pPLB2
Interstellar Cornfield Chase,"Hans Zimmer, Alex Gibson, Ryan Rubin, Cameron Carpenter, Rahel Senn, NDR Radiophilharmonie, Michael England",Epic Orchestra - New Sound of Classical,2020-02-14,129216,https://open.spotify.com/track/7JlX5K3Jj1Q8cJCF4AUHMX
Cornfield Chase - Piano Version,"Hans Zimmer, Javi Lobe",Cornfield Chase,2020-06-05,207000,https://open.spotify.com/track/615JiPjSiueBgp9HjXgCZ2
"Time (From ""Inception"") [Remake] - Piano Version",Patrik Pietschmann,"Time (From ""Inception"") [Remake] [Piano Version]",2019-09-26,252264,https://open.spotify.com/track/6GG3mGhReBxKOWD3GIpOy8
Interstellar (Main Theme) - Piano Version,Ada De Antonio,Interstellar (Main Theme) [Piano Version],2019-12-09,221232,https://open.spotify.com/track/5grY2PsQicaPKJj5vYXhcy
"First Step (From ""Interstellar"")","Hans Zimmer, Alex Gibson, RYAN RUBIN, Morunas","First Step (From ""Interstellar"")",2020-01-13,210813,https://open.spotify.com/track/5IXbHbTER8oln0t7g58sZZ
Tick-Tock,Hans Zimmer,Interstellar (Original Motion Picture Soundtrack) [Expanded Edition],2014-11-18,498852,https://open.spotify.com/track/5Di0EOfzgABjIldD2GaMVm
Day One - Original Demo,Hans Zimmer,Interstellar (Original Motion Picture Soundtrack) [Expanded Edition],2014-11-18,229146,https://open.spotify.com/track/1GelvXCuNRJkSTV8UwAAGw
Cornfield Chase,Hans Zimmer,Interstellar (Original Motion Picture Soundtrack) [Expanded Edition],2014-11-18,126959,https://open.spotify.com/track/6pWgRkpqVfxnj3WuIcJ7WP
Organ Variation,Hans Zimmer,Interstellar (Original Motion Picture Soundtrack) [Expanded Edition],2014-11-18,291805,https://open.spotify.com/track/6dkJvNZ7DJWzTFXv3KHmoT
Day One Dark,Hans Zimmer,Interstellar (Original Motion Picture Soundtrack) [Expanded Edition],2014-11-18,417240,https://open.spotify.com/track/1fVtXWaLht2ACju6yLRrRf
First Step (Interstellar),Leon Alex,Movie Soundtracks Guitar Covers,2018-02-28,208800,https://open.spotify.com/track/6h4PQqQxcANxOQBKXKXVMg
"Main Theme (From ""Interstellar"")",Adam Ambrosini,"Main Theme (From ""Interstellar"")",2018-01-19,285235,https://open.spotify.com/track/53iuF6nqlO0q2OIom7y33k
Interstellar Cornfield Chase,"Hans Zimmer, Alex Gibson, Ryan Rubin, Cameron Carpenter, Rahel Senn, NDR Radiophilharmonie, Michael England",Epic Soundtracks and Orchestral Music,2020-04-17,128160,https://open.spotify.com/track/3JeBHHv6hwfZwkTGeOIX8U
Interstellar on Piano,Andy Morris,Interstellar on Piano,2022-04-10,139075,https://open.spotify.com/track/06Muk6IyarouV5CXeQ2yBN
Time (From Inception) - Piano Version,Random Piano,"Piano Covers, Vol. 1",2020-04-23,223528,https://open.spotify.com/track/0oe8xyvJ0yMalvT38Nu8qS
Tenet Main Theme - Piano Version,Patrik Pietschmann,Tenet Main Theme (Piano Version),2020-09-28,322008,https://open.spotify.com/track/2NeeArtvpc6o0C2kx9pD7L
Interstellar - First Step,Kyle Landry,Interstellar - First Step,2015-03-17,508621,https://open.spotify.com/track/3o3YwmhvMgLw9Vs0ICZ1qn
Cornfield Chase (Slowed + Reverb),Dorian Marko,Cornfield Chase (Slowed + Reverb),2022-04-04,157071,https://open.spotify.com/track/1VmOBILGWzRl76jzu9rFRQ
Cornfield Chase,Dorian Marko,Cornfield Chase,2022-03-04,127817,https://open.spotify.com/track/4fhFlHloSh3y8qC3z7teXt
Interstellar Main Theme,Magnus Baumgartl,Interstellar Main Theme,2014,383988,https://open.spotify.com/track/1n2fG174BlBBKdj6bjzVYm
Interstellar,ibi,Interstellar,2021-08-23,289636,https://open.spotify.com/track/1oBKEyvZmbyZd1dWlmgn0u
Day One (Interstellar Theme),Hans Zimmer,Interstellar (Original Motion Picture Soundtrack) [Expanded Edition],2014-11-18,199422,https://open.spotify.com/track/4WmB04GBqS4xPMYN9dHgBw
No Time for Caution,Hans Zimmer,Interstellar (Original Motion Picture Soundtrack) [Expanded Edition],2014-11-18,246271,https://open.spotify.com/track/5aaXqH8rgKZxg61HjECldi
Cornfield Chase - Piano-Cello Version,"Michael Forster, Anna Stevens",Piano Chill,2018-02-23,124453,https://open.spotify.com/track/0dn7lN2ky5BnUJNoELXh3i
"Cornfield Chase - From ""Interstellar""","Hans Zimmer, London Music Works",Epic Cinema: Great Film Music,2023-10-21,130173,https://open.spotify.com/track/03ctkGyw00osCk7w2Pssk2
First Step,Hans Zimmer,Interstellar (Original Motion Picture Soundtrack) [Expanded Edition],2014-11-18,107767,https://open.spotify.com/track/1gLLVtr9kIjmyoRzENZ11w
Interstellar Theme,Nicholas Yee,Cello Soundtracks,2017-09-12,167515,https://open.spotify.com/track/0tQ53fUnWuRK30DDiiIFTm
The Last Samurai Main Theme - Piano Version,Patrik Pietschmann,The Last Samurai Main Theme (Piano Version),2019-06-18,243648,https://open.spotify.com/track/5bhQx5stOZBLCytevhWIsL
Interstellar: Interstellar Main Theme,2Hooks,Interstellar: Interstellar Main Theme,2020-05-27,183164,https://open.spotify.com/track/7GL0RG5gqWjGRrmmSKifo1
Inception x Interstellar: Time & Interstellar Main Theme - Epic Version,2Hooks,Inception x Interstellar: Time & Interstellar Main Theme (Epic Version),2021-05-10,292856,https://open.spotify.com/track/2LnOaamwwJaR4Y1JDWh5nN
Space,French Fuse,Space,2023-01-27,184615,https://open.spotify.com/track/2NUsBrtVjfFs3lzJWeJdlS
